design_name,true_area_1,pred_area_1,error_1,abs_error_1,true_area_2,pred_area_2,error_2,abs_error_2,true_area_3,pred_area_3,error_3,abs_error_3,true_area_4,pred_area_4,error_4,abs_error_4,true_area_5,pred_area_5,error_5,abs_error_5,true_area_6,pred_area_6,error_6,abs_error_6,true_area_7,pred_area_7,error_7,abs_error_7,true_area_8,pred_area_8,error_8,abs_error_8,true_area_9,pred_area_9,error_9,abs_error_9,true_area_10,pred_area_10,error_10,abs_error_10,true_area_11,pred_area_11,error_11,abs_error_11,true_area_12,pred_area_12,error_12,abs_error_12,true_area_13,pred_area_13,error_13,abs_error_13,true_area_14,pred_area_14,error_14,abs_error_14,true_area_15,pred_area_15,error_15,abs_error_15,true_area_16,pred_area_16,error_16,abs_error_16,true_area_17,pred_area_17,error_17,abs_error_17,true_area_18,pred_area_18,error_18,abs_error_18,true_area_19,pred_area_19,error_19,abs_error_19,true_area_20,pred_area_20,error_20,abs_error_20,mean_abs_error
sin,1.9649187,1.9479628,0.016955972,0.016955972,1.9556868,1.9356213,0.020065546,0.020065546,1.9387002,1.9279991,0.01070106,0.01070106,1.9335303,1.924525,0.009005308,0.009005308,1.9102659,1.9216169,-0.011350989,0.011350989,1.9069424,1.9197474,-0.012804985,0.012804985,1.9025111,1.9194775,-0.016966343,0.016966343,1.8881093,1.9190645,-0.030955195,0.030955195,1.8858937,1.9194682,-0.033574462,0.033574462,1.8825701,1.9184963,-0.035926104,0.035926104,1.8825701,1.9185312,-0.035961032,0.035961032,1.8825701,1.9182197,-0.035649538,0.035649538,1.8825701,1.918185,-0.035614848,0.035614848,1.881093,1.9176887,-0.036595702,0.036595702,1.881093,1.9177196,-0.036626577,0.036626577,1.8807238,1.9173157,-0.036591887,0.036591887,1.8803545,1.9173224,-0.036967874,0.036967874,1.8803545,1.9175136,-0.037159085,0.037159085,1.8799852,1.9154437,-0.035458446,0.035458446,1.8799852,1.9154462,-0.03546095,0.03546095,0.028019596
sin,1.9911374,1.948914,0.042223334,0.042223334,1.9531019,1.9360352,0.017066717,0.017066717,1.8940177,1.9278631,-0.033845425,0.033845425,1.8906943,1.9232935,-0.03259921,0.03259921,1.88774,1.9217876,-0.034047604,0.034047604,1.8807238,1.9206827,-0.039958835,0.039958835,1.8674299,1.9209365,-0.053506613,0.053506613,1.8666912,1.9210887,-0.054397464,0.054397464,1.8666912,1.9202976,-0.05360639,0.05360639,1.86226,1.9190625,-0.05680251,0.05680251,1.8611522,1.9178643,-0.05671215,0.05671215,1.8585672,1.9181278,-0.059560537,0.059560537,1.8585672,1.9183118,-0.059744596,0.059744596,1.8585672,1.9171317,-0.058564425,0.058564425,1.8574594,1.9168591,-0.059399724,0.059399724,1.8574594,1.9172865,-0.05982709,0.05982709,1.855613,1.91647,-0.060857058,0.060857058,1.855613,1.9157867,-0.06017375,0.06017375,1.855613,1.9140216,-0.058408618,0.058408618,1.855613,1.914998,-0.05938506,0.05938506,0.050534356
sin,1.9911374,1.948847,0.04229033,0.04229033,1.9789512,1.9361655,0.042785764,0.042785764,1.929099,1.9286149,0.00048410892,0.00048410892,1.9257755,1.9253715,0.00040400028,0.00040400028,1.9231906,1.922235,0.00095558167,0.00095558167,1.9058346,1.92023,-0.014395475,0.014395475,1.9054652,1.9197781,-0.014312863,0.014312863,1.8862629,1.9191421,-0.032879233,0.032879233,1.8844166,1.9197283,-0.0353117,0.0353117,1.8829395,1.9204986,-0.03755915,0.03755915,1.8825701,1.9201965,-0.037626386,0.037626386,1.8814623,1.91999,-0.038527608,0.038527608,1.881093,1.9206547,-0.03956163,0.03956163,1.881093,1.919627,-0.038533926,0.038533926,1.8807238,1.920017,-0.03929317,0.03929317,1.8807238,1.9197265,-0.039002657,0.039002657,1.8807238,1.9195145,-0.038790703,0.038790703,1.8807238,1.9181364,-0.037412524,0.037412524,1.8799852,1.916522,-0.036536813,0.036536813,1.8799852,1.9174116,-0.037426353,0.037426353,0.0302045
sin,1.9911374,1.9489875,0.0421499,0.0421499,1.9527327,1.9351836,0.017549038,0.017549038,1.8958641,1.9272285,-0.03136432,0.03136432,1.8925406,1.9229016,-0.030361056,0.030361056,1.8895864,1.9214453,-0.0318588,0.0318588,1.881093,1.9202313,-0.039138317,0.039138317,1.875554,1.9198687,-0.044314742,0.044314742,1.8714919,1.9199471,-0.04845524,0.04845524,1.8711226,1.9195144,-0.04839182,0.04839182,1.8626293,1.9196393,-0.057010055,0.057010055,1.8615214,1.9198194,-0.05829799,0.05829799,1.8607829,1.9192472,-0.05846429,0.05846429,1.8607829,1.9193939,-0.058611035,0.058611035,1.8581979,1.9183879,-0.060189962,0.060189962,1.8578286,1.9175942,-0.059765577,0.059765577,1.8578286,1.917128,-0.05929935,0.05929935,1.8578286,1.9166535,-0.058824897,0.058824897,1.8567208,1.9167389,-0.060018063,0.060018063,1.855613,1.9168308,-0.061217785,0.061217785,1.855613,1.917238,-0.061625004,0.061625004,0.049345363
sin,1.9627031,1.9469446,0.015758514,0.015758514,1.9490399,1.9347485,0.014291406,0.014291406,1.9150665,1.9277238,-0.012657285,0.012657285,1.9139587,1.924731,-0.010772347,0.010772347,1.9095273,1.9234735,-0.013946176,0.013946176,1.9069424,1.9211338,-0.014191389,0.014191389,1.905096,1.9208417,-0.01574564,0.01574564,1.9036189,1.9202683,-0.016649365,0.016649365,1.9036189,1.9197751,-0.016156197,0.016156197,1.9036189,1.9193971,-0.015778184,0.015778184,1.9036189,1.9199166,-0.016297698,0.016297698,1.9036189,1.9200072,-0.016388297,0.016388297,1.9032496,1.9202179,-0.01696825,0.01696825,1.9032496,1.9183599,-0.015110254,0.015110254,1.8870015,1.9175043,-0.030502796,0.030502796,1.8870015,1.9173764,-0.030374885,0.030374885,1.8866322,1.9160478,-0.029415607,0.029415607,1.8866322,1.9154121,-0.028779864,0.028779864,1.8866322,1.9150653,-0.028433084,0.028433084,1.8866322,1.9160973,-0.02946508,0.02946508,0.019384116
sin,1.9870753,1.9471327,0.039942622,0.039942622,1.9560561,1.9349694,0.021086693,0.021086693,1.9375923,1.9270816,0.010510683,0.010510683,1.9368538,1.9233348,0.0135189295,0.0135189295,1.9346381,1.9209555,0.013682604,0.013682604,1.8962334,1.9196495,-0.023416042,0.023416042,1.890325,1.9193387,-0.029013753,0.029013753,1.8873707,1.9188566,-0.031485915,0.031485915,1.8873707,1.9194053,-0.032034636,0.032034636,1.8759232,1.9196708,-0.043747663,0.043747663,1.8707533,1.9205987,-0.049845457,0.049845457,1.8700148,1.9196904,-0.049675584,0.049675584,1.8700148,1.9197897,-0.049774885,0.049774885,1.8681684,1.9200948,-0.051926494,0.051926494,1.8629985,1.9188541,-0.05585563,0.05585563,1.86226,1.9175799,-0.055319905,0.055319905,1.8607829,1.917515,-0.056732178,0.056732178,1.8604136,1.9175184,-0.057104826,0.057104826,1.8600444,1.9165577,-0.05651331,0.05651331,1.8600444,1.916933,-0.05688858,0.05688858,0.03990382
sin,1.9268833,1.9472563,-0.020372987,0.020372987,1.8921714,1.9338125,-0.041641116,0.041641116,1.8829395,1.9267962,-0.04385674,0.04385674,1.8807238,1.9229121,-0.042188287,0.042188287,1.8807238,1.9205904,-0.039866567,0.039866567,1.877031,1.9193978,-0.042366862,0.042366862,1.8733382,1.9186261,-0.045287848,0.045287848,1.868907,1.9193285,-0.050421476,0.050421476,1.868907,1.9191345,-0.050227523,0.050227523,1.86226,1.918315,-0.05605507,0.05605507,1.8615214,1.9180346,-0.05651319,0.05651319,1.8607829,1.9172955,-0.056512594,0.056512594,1.8604136,1.9166281,-0.05621457,0.05621457,1.8581979,1.9169563,-0.058758378,0.058758378,1.8581979,1.917638,-0.059440017,0.059440017,1.8581979,1.9161906,-0.057992697,0.057992697,1.8581979,1.9151858,-0.05698788,0.05698788,1.8570901,1.9150772,-0.057987094,0.057987094,1.8559823,1.9149452,-0.05896294,0.05896294,1.8559823,1.9160477,-0.06006539,0.06006539,0.050585963
sin,1.9708272,1.9468961,0.023931146,0.023931146,1.9239291,1.9339978,-0.010068655,0.010068655,1.9209749,1.9266106,-0.0056357384,0.0056357384,1.9102659,1.9233027,-0.013036728,0.013036728,1.9014033,1.9209484,-0.019545078,0.019545078,1.8988184,1.9200283,-0.021209955,0.021209955,1.8988184,1.9196372,-0.02081883,0.02081883,1.8940177,1.9204023,-0.026384592,0.026384592,1.88774,1.9194267,-0.031686664,0.031686664,1.8633678,1.9191713,-0.055803537,0.055803537,1.8629985,1.9188256,-0.05582714,0.05582714,1.86226,1.9192177,-0.05695772,0.05695772,1.8604136,1.9183124,-0.05789888,0.05789888,1.8600444,1.9178567,-0.057812333,0.057812333,1.8600444,1.9181222,-0.058077812,0.058077812,1.8600444,1.9170119,-0.056967497,0.056967497,1.8589364,1.9162326,-0.057296157,0.057296157,1.8589364,1.9154569,-0.056520462,0.056520462,1.8589364,1.9141887,-0.055252314,0.055252314,1.8585672,1.9147285,-0.056161284,0.056161284,0.039844625
sin,1.9708272,1.9468856,0.023941636,0.023941636,1.9627031,1.9346167,0.028086424,0.028086424,1.9627031,1.9274745,0.03522861,0.03522861,1.9627031,1.9241157,0.03858745,0.03858745,1.9582717,1.921314,0.03695774,0.03695774,1.9571639,1.9197338,0.037430167,0.037430167,1.9405465,1.919232,0.021314502,0.021314502,1.9401772,1.9187422,0.021435022,0.021435022,1.9401772,1.9189916,0.021185637,0.021185637,1.9364845,1.9183178,0.018166661,0.018166661,1.9364845,1.918597,0.017887473,0.017887473,1.9364845,1.9186926,0.017791867,0.017791867,1.9364845,1.9187288,0.017755628,0.017755628,1.9364845,1.9184923,0.017992139,0.017992139,1.9364845,1.9179742,0.018510222,0.018510222,1.8966026,1.917423,-0.02082038,0.02082038,1.8906943,1.9167874,-0.026093125,0.026093125,1.88774,1.9160235,-0.028283477,0.028283477,1.8847858,1.9150229,-0.030237079,0.030237079,1.8829395,1.9161016,-0.033162117,0.033162117,0.025543367
sin,1.9870753,1.9480969,0.038978457,0.038978457,1.9560561,1.9357314,0.020324707,0.020324707,1.9549483,1.9284568,0.026491523,0.026491523,1.8973413,1.923889,-0.02654779,0.02654779,1.8822008,1.9215287,-0.03932786,0.03932786,1.881093,1.9192178,-0.0381248,0.0381248,1.8785081,1.9182485,-0.039740443,0.039740443,1.877031,1.917922,-0.04089105,0.04089105,1.8711226,1.9186348,-0.047512174,0.047512174,1.8659527,1.918542,-0.052589297,0.052589297,1.8652142,1.9190408,-0.05382657,0.05382657,1.86226,1.9185905,-0.05633056,0.05633056,1.8618907,1.9184818,-0.056591153,0.056591153,1.8607829,1.9187081,-0.057925224,0.057925224,1.8607829,1.9181023,-0.057319403,0.057319403,1.8604136,1.9182395,-0.057825923,0.057825923,1.8593057,1.9168984,-0.05759263,0.05759263,1.8585672,1.9161923,-0.057625055,0.057625055,1.8570901,1.914702,-0.057611942,0.057611942,1.8567208,1.9149293,-0.058208466,0.058208466,0.04706925
