design_name,true_area_1,pred_area_1,error_1,abs_error_1,true_area_2,pred_area_2,error_2,abs_error_2,true_area_3,pred_area_3,error_3,abs_error_3,true_area_4,pred_area_4,error_4,abs_error_4,true_area_5,pred_area_5,error_5,abs_error_5,true_area_6,pred_area_6,error_6,abs_error_6,true_area_7,pred_area_7,error_7,abs_error_7,true_area_8,pred_area_8,error_8,abs_error_8,true_area_9,pred_area_9,error_9,abs_error_9,true_area_10,pred_area_10,error_10,abs_error_10,true_area_11,pred_area_11,error_11,abs_error_11,true_area_12,pred_area_12,error_12,abs_error_12,true_area_13,pred_area_13,error_13,abs_error_13,true_area_14,pred_area_14,error_14,abs_error_14,true_area_15,pred_area_15,error_15,abs_error_15,true_area_16,pred_area_16,error_16,abs_error_16,true_area_17,pred_area_17,error_17,abs_error_17,true_area_18,pred_area_18,error_18,abs_error_18,true_area_19,pred_area_19,error_19,abs_error_19,true_area_20,pred_area_20,error_20,abs_error_20,mean_abs_error
sin,1.9627031,1.8323859,0.13031721,0.13031721,1.905096,1.8171747,0.08792138,0.08792138,1.8980798,1.8084941,0.08958566,0.08958566,1.8844166,1.8033664,0.08105016,0.08105016,1.874446,1.8013971,0.07304895,0.07304895,1.8740768,1.8013797,0.07269716,0.07269716,1.8740768,1.8013641,0.07271278,0.07271278,1.8700148,1.800643,0.06937182,0.06937182,1.8674299,1.801049,0.06638086,0.06638086,1.8637371,1.8002341,0.06350303,0.06350303,1.86226,1.8006009,0.061659098,0.061659098,1.8593057,1.8005146,0.05879116,0.05879116,1.8563515,1.7994478,0.05690372,0.05690372,1.8563515,1.7993275,0.057024002,0.057024002,1.8563515,1.7991056,0.05724585,0.05724585,1.855613,1.798822,0.056790948,0.056790948,1.855613,1.7988759,0.056737065,0.056737065,1.8533974,1.7969466,0.056450725,0.056450725,1.8519202,1.7957422,0.056178093,0.056178093,1.8515509,1.7980494,0.053501487,0.053501487,0.06889356
sin,1.9708272,1.832758,0.13806927,0.13806927,1.9483013,1.8177984,0.13050294,0.13050294,1.9390694,1.8095157,0.12955368,0.12955368,1.9139587,1.8053966,0.10856211,0.10856211,1.8873707,1.8028039,0.08456683,0.08456683,1.883678,1.8023652,0.081312776,0.081312776,1.8766618,1.8018613,0.07480049,0.07480049,1.8759232,1.8018365,0.074086666,0.074086666,1.8659527,1.8008767,0.06507599,0.06507599,1.8655834,1.8000954,0.06548798,0.06548798,1.8655834,1.7993921,0.066191316,0.066191316,1.8652142,1.7985423,0.06667197,0.06667197,1.86226,1.7978532,0.06440675,0.06440675,1.8611522,1.7983128,0.06283939,0.06283939,1.8604136,1.7993033,0.061110258,0.061110258,1.8604136,1.7986883,0.06172526,0.06172526,1.8593057,1.7983336,0.060972095,0.060972095,1.8589364,1.7984432,0.06049323,0.06049323,1.8578286,1.797563,0.06026566,0.06026566,1.8570901,1.7979072,0.059182882,0.059182882,0.078793876
sin,1.9708272,1.8325942,0.13823307,0.13823307,1.9627031,1.8187783,0.14392483,0.14392483,1.915805,1.8095003,0.106304646,0.106304646,1.9106351,1.8047091,0.10592604,0.10592604,1.9021418,1.8020675,0.10007429,0.10007429,1.8759232,1.8008949,0.0750283,0.0750283,1.8718611,1.7992468,0.07261431,0.07261431,1.8707533,1.7991647,0.071588635,0.071588635,1.8707533,1.7991751,0.071578145,0.071578145,1.8677992,1.8001837,0.06761551,0.06761551,1.8648449,1.7995565,0.065288424,0.065288424,1.8648449,1.7999566,0.06488836,0.06488836,1.8648449,1.8000922,0.0647527,0.0647527,1.8648449,1.8003922,0.06445277,0.06445277,1.8648449,1.8005917,0.06425321,0.06425321,1.8637371,1.8005722,0.06316495,0.06316495,1.8633678,1.7994249,0.06394291,0.06394291,1.859675,1.7976607,0.06201434,0.06201434,1.8593057,1.7973325,0.061973214,0.061973214,1.8585672,1.798013,0.060554266,0.060554266,0.079408646
sin,1.9708272,1.8325444,0.13828278,0.13828278,1.9627031,1.8185934,0.14410973,0.14410973,1.9438701,1.8100215,0.13384855,0.13384855,1.915805,1.8048985,0.11090648,0.11090648,1.8881093,1.8018472,0.08626211,0.08626211,1.875554,1.7999071,0.07564688,0.07564688,1.8711226,1.7986494,0.07247317,0.07247317,1.8700148,1.7987283,0.07128644,0.07128644,1.8685377,1.7978905,0.07064712,0.07064712,1.866322,1.7980227,0.06829929,0.06829929,1.8637371,1.7992485,0.06448865,0.06448865,1.8585672,1.7996703,0.0588969,0.0588969,1.8563515,1.7989241,0.057427406,0.057427406,1.8559823,1.7982374,0.05774486,0.05774486,1.8552437,1.7981616,0.057082057,0.057082057,1.8552437,1.7983313,0.056912422,0.056912422,1.8541359,1.7984762,0.05565965,0.05565965,1.853028,1.7971926,0.055835485,0.055835485,1.8519202,1.7968694,0.05505085,0.05505085,1.8515509,1.7977589,0.053792,0.053792,0.077232644
sin,1.9708272,1.8331574,0.1376698,0.1376698,1.9682423,1.8188154,0.14942694,0.14942694,1.9457164,1.8098671,0.13584924,0.13584924,1.9364845,1.8056331,0.13085139,0.13085139,1.9294683,1.8035582,0.12591004,0.12591004,1.9246676,1.8015931,0.12307453,0.12307453,1.922452,1.8001835,0.12226844,0.12226844,1.8906943,1.7993796,0.09131467,0.09131467,1.890325,1.7993411,0.09098387,0.09098387,1.890325,1.7999724,0.090352535,0.090352535,1.890325,1.7997435,0.09058142,0.09058142,1.890325,1.8000094,0.09031558,0.09031558,1.890325,1.7995018,0.09082317,0.09082317,1.8899556,1.7986426,0.091313004,0.091313004,1.8888478,1.79849,0.09035778,0.09035778,1.8851551,1.7991917,0.08596337,0.08596337,1.8844166,1.797221,0.087195635,0.087195635,1.8822008,1.7956029,0.08659792,0.08659792,1.8822008,1.7955267,0.086674094,0.086674094,1.8822008,1.7976182,0.08458269,0.08458269,0.10410531
sin,1.9870753,1.8332213,0.15385401,0.15385401,1.981167,1.8199689,0.16119802,0.16119802,1.9283605,1.8107014,0.11765909,0.11765909,1.8940177,1.8051633,0.08885443,0.08885443,1.8677992,1.8016278,0.06617141,0.06617141,1.8659527,1.7997086,0.066244125,0.066244125,1.8629985,1.799624,0.06337452,0.06337452,1.8615214,1.7999593,0.06156206,0.06156206,1.859675,1.8009421,0.058732986,0.058732986,1.859675,1.8007736,0.05890143,0.05890143,1.8593057,1.800709,0.05859673,0.05859673,1.8589364,1.7991388,0.059797645,0.059797645,1.8570901,1.7985245,0.058565617,0.058565617,1.8570901,1.7986937,0.05839646,0.05839646,1.855613,1.7994351,0.056177855,0.056177855,1.8548745,1.7992266,0.05564785,0.05564785,1.8545052,1.7980006,0.056504607,0.056504607,1.853028,1.7963514,0.056676626,0.056676626,1.853028,1.7957792,0.05724883,0.05724883,1.8526587,1.796725,0.055933714,0.055933714,0.0735049
sin,1.9627031,1.8330371,0.12966597,0.12966597,1.9512556,1.8193372,0.13191831,0.13191831,1.896972,1.8098598,0.08711219,0.08711219,1.8925406,1.8044325,0.08810806,0.08810806,1.875554,1.8016803,0.07387364,0.07387364,1.8707533,1.8002012,0.07055211,0.07055211,1.8670605,1.7994637,0.06759679,0.06759679,1.8648449,1.7995477,0.065297246,0.065297246,1.8615214,1.7988214,0.062699914,0.062699914,1.859675,1.7987092,0.060965896,0.060965896,1.859675,1.7980468,0.061628222,0.061628222,1.8585672,1.7980624,0.060504794,0.060504794,1.8585672,1.7989935,0.05957377,0.05957377,1.8585672,1.7985445,0.06002271,0.06002271,1.8585672,1.7985976,0.059969664,0.059969664,1.8585672,1.7991086,0.059458613,0.059458613,1.8585672,1.7982357,0.060331583,0.060331583,1.8574594,1.7970859,0.060373545,0.060373545,1.8574594,1.7967322,0.06072724,0.06072724,1.8567208,1.7983587,0.058362126,0.058362126,0.07193712
sin,1.9627031,1.8320949,0.1306082,0.1306082,1.9239291,1.8173388,0.10659027,0.10659027,1.9183899,1.8095185,0.10887146,0.10887146,1.9143279,1.8046398,0.10968804,0.10968804,1.91322,1.8027878,0.11043227,0.11043227,1.9117429,1.8025957,0.10914719,0.10914719,1.9069424,1.8024651,0.10447729,0.10447729,1.9054652,1.8017637,0.10370159,0.10370159,1.9039882,1.8015025,0.102485776,0.102485776,1.9028803,1.80163,0.10125029,0.10125029,1.9025111,1.8013417,0.10116947,0.10116947,1.9025111,1.8009261,0.10158503,0.10158503,1.9021418,1.8004942,0.101647615,0.101647615,1.9021418,1.799597,0.102544785,0.102544785,1.9021418,1.7995447,0.10259712,0.10259712,1.9021418,1.798938,0.10320377,0.10320377,1.9021418,1.7992842,0.10285759,0.10285759,1.9021418,1.7984397,0.10370207,0.10370207,1.8825701,1.7968398,0.085730314,0.085730314,1.8692762,1.7973495,0.07192671,0.07192671,0.103210844
sin,1.9627031,1.8328204,0.1298827,0.1298827,1.9623338,1.8186536,0.14368021,0.14368021,1.9486706,1.81031,0.13836062,0.13836062,1.9146972,1.804982,0.10971522,0.10971522,1.9139587,1.8021302,0.11182845,0.11182845,1.9095273,1.8016274,0.107899904,0.107899904,1.8870015,1.7998539,0.08714759,0.08714759,1.8858937,1.7990854,0.086808324,0.086808324,1.8722304,1.7985792,0.073651195,0.073651195,1.8677992,1.7983102,0.069489,0.069489,1.8670605,1.7990183,0.06804228,0.06804228,1.8641063,1.7994995,0.064606786,0.064606786,1.8633678,1.7989686,0.06439924,0.06439924,1.8633678,1.7984681,0.06489968,0.06489968,1.8633678,1.7987884,0.06457937,0.06457937,1.8633678,1.7973334,0.066034436,0.066034436,1.8629985,1.7963829,0.06661558,0.06661558,1.8629985,1.7961864,0.06681204,0.06681204,1.8593057,1.7959859,0.0633198,0.0633198,1.8593057,1.7973123,0.06199348,0.06199348,0.0854883
sin,1.9708272,1.8328384,0.1379888,0.1379888,1.9682423,1.8184006,0.14984167,0.14984167,1.9228213,1.8096716,0.11314964,0.11314964,1.8921714,1.8043156,0.087855816,0.087855816,1.8884786,1.8013569,0.087121725,0.087121725,1.8884786,1.7996169,0.088861704,0.088861704,1.8807238,1.7995601,0.081163764,0.081163764,1.8807238,1.7998133,0.08091056,0.08091056,1.8807238,1.8005149,0.0802089,0.0802089,1.8807238,1.8005803,0.08014357,0.08014357,1.8807238,1.799484,0.08123982,0.08123982,1.8799852,1.7995137,0.080471516,0.080471516,1.8799852,1.7993127,0.0806725,0.0806725,1.8792467,1.7983654,0.08088136,0.08088136,1.8792467,1.7981327,0.081114054,0.081114054,1.8792467,1.7970238,0.08222294,0.08222294,1.8792467,1.7968628,0.08238387,0.08238387,1.8792467,1.7966912,0.08255553,0.08255553,1.8766618,1.7961286,0.08053315,0.08053315,1.8703841,1.7985473,0.07183683,0.07183683,0.089557886
