design_name,true_area_1,pred_area_1,error_1,abs_error_1,true_area_2,pred_area_2,error_2,abs_error_2,true_area_3,pred_area_3,error_3,abs_error_3,true_area_4,pred_area_4,error_4,abs_error_4,true_area_5,pred_area_5,error_5,abs_error_5,true_area_6,pred_area_6,error_6,abs_error_6,true_area_7,pred_area_7,error_7,abs_error_7,true_area_8,pred_area_8,error_8,abs_error_8,true_area_9,pred_area_9,error_9,abs_error_9,true_area_10,pred_area_10,error_10,abs_error_10,true_area_11,pred_area_11,error_11,abs_error_11,true_area_12,pred_area_12,error_12,abs_error_12,true_area_13,pred_area_13,error_13,abs_error_13,true_area_14,pred_area_14,error_14,abs_error_14,true_area_15,pred_area_15,error_15,abs_error_15,true_area_16,pred_area_16,error_16,abs_error_16,true_area_17,pred_area_17,error_17,abs_error_17,true_area_18,pred_area_18,error_18,abs_error_18,true_area_19,pred_area_19,error_19,abs_error_19,true_area_20,pred_area_20,error_20,abs_error_20,mean_abs_error
apex1,1.8083756,1.6711389,0.13723671,0.13723671,1.7791878,1.6259843,0.15320349,0.15320349,1.7284263,1.5865095,0.14191687,0.14191687,1.6700507,1.5475956,0.12245512,0.12245512,1.6307106,1.5242413,0.10646927,0.10646927,1.606599,1.4986336,0.10796535,0.10796535,1.572335,1.4796033,0.092731714,0.092731714,1.5596447,1.4670593,0.092585444,0.092585444,1.5583756,1.452497,0.10587859,0.10587859,1.5494924,1.4450947,0.104397655,0.104397655,1.5456853,1.4373398,0.10834551,0.10834551,1.538071,1.42996,0.108111024,0.108111024,1.534264,1.4227569,0.11150706,0.11150706,1.5266497,1.4169375,0.10971224,0.10971224,1.5241116,1.4163892,0.1077224,0.1077224,1.5152284,1.4163295,0.09889889,0.09889889,1.5139594,1.4182786,0.09568083,0.09568083,1.5139594,1.415778,0.09818137,0.09818137,1.5088832,1.4044894,0.10439384,0.10439384,1.5076143,1.4024092,0.10520506,0.10520506,0.110629916
apex1,1.8083756,1.6751242,0.13325143,0.13325143,1.8045685,1.6250281,0.1795404,0.1795404,1.7106599,1.5752149,0.135445,0.135445,1.6763959,1.5457277,0.13066816,0.13066816,1.6484772,1.5290549,0.11942232,0.11942232,1.6383249,1.5256531,0.11267173,0.11267173,1.6154822,1.506665,0.10881722,0.10881722,1.5939087,1.4945074,0.099401236,0.099401236,1.5761421,1.4852135,0.090928555,0.090928555,1.5558375,1.4754124,0.08042514,0.08042514,1.5507615,1.4715062,0.07925522,0.07925522,1.5291878,1.4572434,0.071944356,0.071944356,1.5076143,1.4441887,0.06342554,0.06342554,1.5063452,1.4448482,0.061496973,0.061496973,1.498731,1.4334164,0.06531465,0.06531465,1.4898477,1.423003,0.0668447,0.0668447,1.4784263,1.4198688,0.05855751,0.05855751,1.4771574,1.4181992,0.058958173,0.058958173,1.4771574,1.4163479,0.060809493,0.060809493,1.4746193,1.4122941,0.06232512,0.06232512,0.091975145
apex1,1.7829949,1.6741402,0.10885465,0.10885465,1.7474619,1.632541,0.114920974,0.114920974,1.6903553,1.6010613,0.08929396,0.08929396,1.639594,1.5674505,0.072143435,0.072143435,1.5964468,1.5389774,0.057469368,0.057469368,1.5862944,1.51789,0.068404436,0.068404436,1.5659899,1.4998945,0.06609535,0.06609535,1.5571066,1.4982717,0.05883491,0.05883491,1.5444162,1.4868625,0.05755365,0.05755365,1.5406091,1.4802135,0.0603956,0.0603956,1.5329949,1.4729007,0.060094118,0.060094118,1.5329949,1.4722662,0.06072867,0.06072867,1.5291878,1.4561641,0.07302368,0.07302368,1.5114213,1.4408176,0.07060373,0.07060373,1.5038071,1.4378161,0.065990925,0.065990925,1.501269,1.4368137,0.06445527,0.06445527,1.4936548,1.4337262,0.059928656,0.059928656,1.4898477,1.4278497,0.06199801,0.06199801,1.4847716,1.4264371,0.05833447,0.05833447,1.4835025,1.4288857,0.05461681,0.05461681,0.06918703
apex1,1.7525381,1.6572697,0.09526837,0.09526837,1.7373097,1.6092281,0.12808156,0.12808156,1.6738579,1.5580324,0.115825534,0.115825534,1.6218274,1.5226909,0.09913647,0.09913647,1.60533,1.5168183,0.088511705,0.088511705,1.5989847,1.5110006,0.087984085,0.087984085,1.5786802,1.4930073,0.085672855,0.085672855,1.5659899,1.4796677,0.08632219,0.08632219,1.5609137,1.477979,0.08293474,0.08293474,1.5532995,1.4661348,0.08716476,0.08716476,1.5469543,1.4532636,0.093690634,0.093690634,1.5456853,1.446321,0.09936428,0.09936428,1.5329949,1.4318235,0.101171374,0.101171374,1.5291878,1.4275769,0.1016109,0.1016109,1.5266497,1.4306645,0.095985174,0.095985174,1.5228426,1.4341608,0.08868182,0.08868182,1.5228426,1.4345896,0.08825302,0.08825302,1.5215737,1.438755,0.08281863,0.08281863,1.5164975,1.4338359,0.08266163,0.08266163,1.5076143,1.4318818,0.07573247,0.07573247,0.09334361
apex1,1.7829949,1.6684079,0.11458695,0.11458695,1.7461929,1.6198312,0.12636173,0.12636173,1.6992385,1.5686483,0.1305902,0.1305902,1.6345178,1.5308197,0.103698134,0.103698134,1.5964468,1.5160713,0.08037543,0.08037543,1.5939087,1.5059371,0.08797157,0.08797157,1.5786802,1.4962754,0.08240473,0.08240473,1.5786802,1.4927183,0.08596182,0.08596182,1.5774112,1.4948617,0.08254945,0.08254945,1.5774112,1.4908113,0.08659983,0.08659983,1.5748731,1.489997,0.08487606,0.08487606,1.5634518,1.474188,0.0892638,0.0892638,1.5609137,1.4638413,0.09707236,0.09707236,1.5329949,1.4554591,0.07753575,0.07753575,1.5253807,1.4546906,0.070690155,0.070690155,1.5190356,1.4493265,0.06970906,0.06970906,1.5126903,1.4427675,0.069922805,0.069922805,1.5025381,1.4366468,0.065891266,0.065891266,1.4961929,1.4318347,0.064358234,0.064358234,1.4923857,1.4247891,0.067596674,0.067596674,0.0869008
apex1,1.964467,1.6856475,0.27881956,0.27881956,1.9187818,1.6526651,0.26611662,0.26611662,1.785533,1.6022577,0.18327522,0.18327522,1.7195431,1.5747696,0.14477348,0.14477348,1.6687818,1.5466111,0.12217069,0.12217069,1.6256346,1.5182304,0.10740411,0.10740411,1.6154822,1.5014602,0.11402202,0.11402202,1.6154822,1.4985178,0.11696446,0.11696446,1.6154822,1.501176,0.11430621,0.11430621,1.6154822,1.4957619,0.11972034,0.11972034,1.60533,1.494242,0.11108804,0.11108804,1.5951777,1.4827435,0.11243415,0.11243415,1.5913706,1.4776452,0.113725424,0.113725424,1.5850254,1.4729062,0.1121192,0.1121192,1.5837563,1.4632394,0.120516896,0.120516896,1.5736041,1.4549965,0.11860764,0.11860764,1.5672588,1.4492434,0.11801541,0.11801541,1.5507615,1.4390671,0.111694336,0.111694336,1.5456853,1.431374,0.11431134,0.11431134,1.5279188,1.4243432,0.10357559,0.10357559,0.13518302
apex1,1.964467,1.7104131,0.25405395,0.25405395,1.8007615,1.6534982,0.14726329,0.14726329,1.7461929,1.6036003,0.14259267,0.14259267,1.7461929,1.582901,0.16329193,0.16329193,1.7309644,1.5805876,0.1503768,0.1503768,1.7220812,1.5722272,0.14985394,0.14985394,1.6878172,1.5439125,0.14390469,0.14390469,1.6383249,1.5183166,0.12000823,0.12000823,1.6319797,1.5127113,0.11926842,0.11926842,1.6319797,1.5113238,0.120655894,0.120655894,1.6205584,1.5141789,0.10637951,0.10637951,1.6192894,1.5167986,0.10249078,0.10249078,1.6192894,1.5151699,0.10411954,0.10411954,1.6192894,1.5145118,0.104777575,0.104777575,1.6192894,1.5155203,0.103769064,0.103769064,1.6192894,1.5094978,0.10979164,0.10979164,1.6040609,1.4877293,0.11633158,0.11633158,1.5748731,1.4678473,0.10702574,0.10702574,1.5659899,1.4549606,0.11102927,0.11102927,1.5647209,1.4494108,0.11531007,0.11531007,0.12961474
apex1,1.8083756,1.6814264,0.12694919,0.12694919,1.75,1.62359,0.12641001,0.12641001,1.7436548,1.5816212,0.16203368,0.16203368,1.6890863,1.5492165,0.13986981,0.13986981,1.6472081,1.5160886,0.13111949,0.13111949,1.6383249,1.4989852,0.13933969,0.13933969,1.6269035,1.4945568,0.13234675,0.13234675,1.5977157,1.4776471,0.12006867,0.12006867,1.5875634,1.473143,0.114420414,0.114420414,1.5685279,1.4602685,0.10825944,0.10825944,1.5596447,1.4489201,0.11072457,0.11072457,1.5329949,1.4451957,0.08779919,0.08779919,1.5279188,1.447528,0.08039081,0.08039081,1.5253807,1.44857,0.07681072,0.07681072,1.5253807,1.4446994,0.080681324,0.080681324,1.5126903,1.4375378,0.07515252,0.07515252,1.5126903,1.436651,0.076039314,0.076039314,1.5126903,1.4360303,0.07666004,0.07666004,1.5101523,1.4312227,0.07892966,0.07892966,1.5050762,1.425953,0.07912314,0.07912314,0.10615642
apex1,1.8083756,1.6678416,0.14053404,0.14053404,1.711929,1.5934405,0.11848843,0.11848843,1.6928934,1.5582374,0.13465595,0.13465595,1.643401,1.5253897,0.118011355,0.118011355,1.6154822,1.5045472,0.11093497,0.11093497,1.606599,1.4968967,0.10970223,0.10970223,1.606599,1.4880629,0.118536115,0.118536115,1.6040609,1.4844489,0.11961198,0.11961198,1.5748731,1.4641273,0.11074579,0.11074579,1.5532995,1.4467891,0.1065104,0.1065104,1.5532995,1.4432067,0.11009288,0.11009288,1.5482234,1.4314498,0.116773605,0.116773605,1.5444162,1.423518,0.12089825,0.12089825,1.5253807,1.4158313,0.1095494,0.1095494,1.5203046,1.4109154,0.109389186,0.109389186,1.5088832,1.4131935,0.09568977,0.09568977,1.5088832,1.4121753,0.09670794,0.09670794,1.4974619,1.4078361,0.089625835,0.089625835,1.4949238,1.4080737,0.08685017,0.08685017,1.4923857,1.4080085,0.08437729,0.08437729,0.11038427
apex1,1.7525381,1.6580613,0.09447682,0.09447682,1.6840101,1.584015,0.099995136,0.099995136,1.6243654,1.5285981,0.09576738,0.09576738,1.610406,1.5184889,0.09191716,0.09191716,1.6078681,1.5082691,0.099599004,0.099599004,1.606599,1.5067818,0.09981716,0.09981716,1.5901015,1.4960836,0.09401786,0.09401786,1.5862944,1.4882851,0.09800935,0.09800935,1.571066,1.4823543,0.08871174,0.08871174,1.571066,1.4799454,0.0911206,0.0911206,1.571066,1.4776055,0.09346056,0.09346056,1.5659899,1.4764087,0.08958113,0.08958113,1.5659899,1.472391,0.09359884,0.09359884,1.5659899,1.470593,0.09539688,0.09539688,1.5659899,1.4652947,0.10069513,0.10069513,1.5659899,1.462272,0.103717804,0.103717804,1.5520304,1.449973,0.10205746,0.10205746,1.5494924,1.4405549,0.1089375,0.1089375,1.534264,1.4319297,0.10233426,0.10233426,1.5266497,1.4281173,0.09853244,0.09853244,0.09708721
