design_name,true_area_1,pred_area_1,error_1,abs_error_1,true_area_2,pred_area_2,error_2,abs_error_2,true_area_3,pred_area_3,error_3,abs_error_3,true_area_4,pred_area_4,error_4,abs_error_4,true_area_5,pred_area_5,error_5,abs_error_5,true_area_6,pred_area_6,error_6,abs_error_6,true_area_7,pred_area_7,error_7,abs_error_7,true_area_8,pred_area_8,error_8,abs_error_8,true_area_9,pred_area_9,error_9,abs_error_9,true_area_10,pred_area_10,error_10,abs_error_10,true_area_11,pred_area_11,error_11,abs_error_11,true_area_12,pred_area_12,error_12,abs_error_12,true_area_13,pred_area_13,error_13,abs_error_13,true_area_14,pred_area_14,error_14,abs_error_14,true_area_15,pred_area_15,error_15,abs_error_15,true_area_16,pred_area_16,error_16,abs_error_16,true_area_17,pred_area_17,error_17,abs_error_17,true_area_18,pred_area_18,error_18,abs_error_18,true_area_19,pred_area_19,error_19,abs_error_19,true_area_20,pred_area_20,error_20,abs_error_20,mean_abs_error
bc0,1.442211,1.36852,0.07369101,0.07369101,1.2663317,1.2204589,0.045872808,0.045872808,1.2110553,1.1772313,0.033823967,0.033823967,1.1809045,1.1416519,0.03925264,0.03925264,1.1771357,1.1241869,0.052948833,0.052948833,1.1658292,1.1104864,0.055342793,0.055342793,1.1658292,1.1085125,0.05731666,0.05731666,1.1419598,1.0947146,0.047245145,0.047245145,1.1319095,1.087019,0.044890523,0.044890523,1.1243719,1.0825742,0.041797638,0.041797638,1.1155779,1.0793809,0.036197066,0.036197066,1.1130654,1.0770379,0.03602743,0.03602743,1.1055276,1.0732783,0.03224933,0.03224933,1.1055276,1.0702524,0.03527522,0.03527522,1.1055276,1.0650436,0.04048407,0.04048407,1.1030151,1.0605495,0.042465568,0.042465568,1.1017588,1.0577755,0.04398334,0.04398334,1.0967337,1.0550312,0.04170251,0.04170251,1.0791457,1.0531124,0.026033282,0.026033282,1.0791457,1.0517683,0.027377367,0.027377367,0.04269886
bc0,1.4535176,1.3685732,0.08494437,0.08494437,1.2788944,1.236206,0.04268837,0.04268837,1.1896985,1.1747248,0.01497364,0.01497364,1.1432161,1.1539702,-0.010754108,0.010754108,1.1281407,1.1357352,-0.007594466,0.007594466,1.1243719,1.1252823,-0.00091040134,0.00091040134,1.1243719,1.1138308,0.010541081,0.010541081,1.111809,1.105922,0.0058870316,0.0058870316,1.0967337,1.0932624,0.0034712553,0.0034712553,1.0904523,1.0880575,0.0023947954,0.0023947954,1.0841708,1.0855687,-0.0013978481,0.0013978481,1.0703517,1.0838656,-0.013513923,0.013513923,1.0653267,1.0821787,-0.016852021,0.016852021,1.0603015,1.0792078,-0.018906236,0.018906236,1.048995,1.0751866,-0.026191592,0.026191592,1.0477387,1.072686,-0.024947286,0.024947286,1.0477387,1.0694728,-0.021734118,0.021734118,1.0452261,1.0664464,-0.021220326,0.021220326,1.0351759,1.0617435,-0.026567578,0.026567578,1.0339196,1.0586419,-0.024722338,0.024722338,0.019010639
bc0,1.442211,1.3641741,0.078036904,0.078036904,1.2663317,1.2217661,0.04456556,0.04456556,1.2550251,1.1639512,0.09107399,0.09107399,1.2324121,1.1387178,0.09369433,0.09369433,1.2223618,1.1274967,0.09486508,0.09486508,1.1419598,1.103904,0.038055778,0.038055778,1.1243719,1.0946274,0.029744506,0.029744506,1.120603,1.0869896,0.033613324,0.033613324,1.1105528,1.0829548,0.027598023,0.027598023,1.1042714,1.078592,0.02567947,0.02567947,1.1005025,1.0739541,0.026548386,0.026548386,1.0728643,1.0695676,0.003296733,0.003296733,1.0678391,1.0660975,0.0017416477,0.0017416477,1.0665829,1.0609292,0.005653739,0.005653739,1.0665829,1.0578052,0.008777738,0.008777738,1.0640703,1.0546197,0.009450674,0.009450674,1.0640703,1.0522177,0.011852622,0.011852622,1.0640703,1.0507616,0.0133087635,0.0133087635,1.0628141,1.0507215,0.01209259,0.01209259,1.0628141,1.0505906,0.012223482,0.012223482,0.03309367
bc0,1.4535176,1.3674905,0.086027026,0.086027026,1.2914573,1.2442846,0.047172666,0.047172666,1.2474874,1.1905293,0.05695808,0.05695808,1.201005,1.1409763,0.060028672,0.060028672,1.1834171,1.1257691,0.057647943,0.057647943,1.1633166,1.1083724,0.054944158,0.054944158,1.1532663,1.0946243,0.05864203,0.05864203,1.1042714,1.0822871,0.021984339,0.021984339,1.0929648,1.0785528,0.014411926,0.014411926,1.0816582,1.0743909,0.007267356,0.007267356,1.0753769,1.0692469,0.00612998,0.00612998,1.0690955,1.0654962,0.003599286,0.003599286,1.0552764,1.061601,-0.006324649,0.006324649,1.048995,1.058524,-0.009528995,0.009528995,1.0452261,1.0558759,-0.0106498,0.0106498,1.0427135,1.0532329,-0.010519385,0.010519385,1.0389447,1.0518572,-0.012912512,0.012912512,1.0389447,1.0510309,-0.012086153,0.012086153,1.0339196,1.0508201,-0.01690054,0.01690054,1.0339196,1.0508296,-0.016910076,0.016910076,0.028532278
bc0,1.442211,1.3578703,0.08434069,0.08434069,1.2663317,1.2129424,0.05338931,0.05338931,1.192211,1.1573648,0.034846187,0.034846187,1.1783919,1.12594,0.05245197,0.05245197,1.1746231,1.1140972,0.060525894,0.060525894,1.1407036,1.1066328,0.03407073,0.03407073,1.120603,1.0917675,0.028835416,0.028835416,1.1092964,1.0864356,0.022860885,0.022860885,1.089196,1.0828128,0.0063831806,0.0063831806,1.0866834,1.0791047,0.0075787306,0.0075787306,1.0753769,1.0731819,0.0021950006,0.0021950006,1.0703517,1.0698929,0.00045883656,0.00045883656,1.0703517,1.0656224,0.004729271,0.004729271,1.0665829,1.0615959,0.0049870014,0.0049870014,1.0665829,1.0586773,0.007905602,0.007905602,1.0640703,1.0563099,0.0077604055,0.0077604055,1.0603015,1.0544252,0.0058763027,0.0058763027,1.0565326,1.0526515,0.0038810968,0.0038810968,1.0565326,1.0520402,0.004492402,0.004492402,1.0565326,1.0514368,0.0050958395,0.0050958395,0.021633238
bc0,1.7851759,1.5949769,0.19019902,0.19019902,1.5263819,1.3680891,0.15829277,0.15829277,1.3341708,1.2450237,0.08914709,0.08914709,1.2336683,1.1735919,0.060076475,0.060076475,1.2198492,1.1523538,0.067495465,0.067495465,1.1997488,1.1303377,0.06941104,0.06941104,1.1997488,1.1223943,0.07735443,0.07735443,1.19598,1.1074923,0.088487625,0.088487625,1.19598,1.0971648,0.0988152,0.0988152,1.1821609,1.0877209,0.09443998,0.09443998,1.1319095,1.0811151,0.050794363,0.050794363,1.1231155,1.0772473,0.045868278,0.045868278,1.120603,1.072091,0.048511982,0.048511982,1.1168342,1.0688717,0.047962427,0.047962427,1.1042714,1.0656368,0.038634658,0.038634658,1.1017588,1.0610045,0.04075432,0.04075432,1.089196,1.0572431,0.031952858,0.031952858,1.0841708,1.0556616,0.02850926,0.02850926,1.0791457,1.0531497,0.02599597,0.02599597,1.0665829,1.051128,0.015454888,0.015454888,0.06840791
bc0,1.442211,1.3339485,0.10826254,0.10826254,1.2738694,1.2122142,0.061655164,0.061655164,1.1909548,1.1423376,0.048617244,0.048617244,1.1859297,1.1177571,0.068172574,0.068172574,1.1507537,1.1049029,0.045850873,0.045850873,1.120603,1.08894,0.03166294,0.03166294,1.111809,1.0842705,0.027538538,0.027538538,1.0917085,1.0773976,0.014310956,0.014310956,1.089196,1.0724355,0.016760468,0.016760468,1.0866834,1.0677128,0.018970609,0.018970609,1.080402,1.0630369,0.017365098,0.017365098,1.0791457,1.0588012,0.020344496,0.020344496,1.0615578,1.0558988,0.005658984,0.005658984,1.0615578,1.0546625,0.0068953037,0.0068953037,1.0615578,1.0534251,0.008132696,0.008132696,1.0565326,1.050881,0.005651593,0.005651593,1.0565326,1.050609,0.005923629,0.005923629,1.0477387,1.050581,-0.002842307,0.002842307,1.0414573,1.0501959,-0.008738637,0.008738637,1.031407,1.050258,-0.018851042,0.018851042,0.027110284
bc0,1.5552764,1.4639399,0.09133649,0.09133649,1.5138191,1.3956,0.11821914,0.11821914,1.4711056,1.3294611,0.14164448,0.14164448,1.3743719,1.2969629,0.07740903,0.07740903,1.2449749,1.2024934,0.042481422,0.042481422,1.1670854,1.1486356,0.018449783,0.018449783,1.1256281,1.1240066,0.0016214848,0.0016214848,1.1155779,1.111177,0.0044009686,0.0044009686,1.1030151,1.1019382,0.0010768175,0.0010768175,1.1017588,1.0996497,0.00210917,0.00210917,1.1017588,1.0910573,0.010701537,0.010701537,1.0954773,1.0871745,0.008302808,0.008302808,1.0942211,1.0852705,0.008950591,0.008950591,1.0942211,1.0839095,0.010311604,0.010311604,1.089196,1.0795254,0.009670615,0.009670615,1.0841708,1.076694,0.0074768066,0.0074768066,1.0829146,1.0740292,0.008885384,0.008885384,1.0829146,1.0710307,0.011883855,0.011883855,1.0816582,1.0657461,0.015912175,0.015912175,1.0778894,1.0619816,0.015907884,0.015907884,0.030337602
bc0,1.4535176,1.3102864,0.14323115,0.14323115,1.2788944,1.221763,0.05713141,0.05713141,1.2386935,1.1877586,0.05093491,0.05093491,1.1733668,1.13773,0.035636783,0.035636783,1.1683418,1.1232775,0.04506421,0.04506421,1.1557789,1.1038165,0.051962376,0.051962376,1.1193467,1.0898438,0.029502988,0.029502988,1.1092964,1.0866742,0.022622228,0.022622228,1.0929648,1.0816534,0.011311412,0.011311412,1.0866834,1.0745652,0.01211822,0.01211822,1.0628141,1.0691664,-0.0063523054,0.0063523054,1.0452261,1.0647954,-0.019569278,0.019569278,1.0439699,1.061367,-0.017397165,0.017397165,1.0326633,1.0575988,-0.024935484,0.024935484,1.0251256,1.055254,-0.03012836,0.03012836,1.0138191,1.0528277,-0.039008617,0.039008617,1.008794,1.0525178,-0.04372382,0.04372382,1.0050251,1.0506538,-0.045628667,0.045628667,1.0050251,1.050672,-0.045646906,0.045646906,1.0050251,1.0502405,-0.04521537,0.04521537,0.03885608
bc0,1.4535176,1.3915095,0.062008023,0.062008023,1.3567839,1.2895601,0.06722379,0.06722379,1.2964824,1.210104,0.086378455,0.086378455,1.1796483,1.1486654,0.030982852,0.030982852,1.1721106,1.1259848,0.04612577,0.04612577,1.1532663,1.1122772,0.04098916,0.04098916,1.1469849,1.1028271,0.044157863,0.044157863,1.1407036,1.0894023,0.05130124,0.05130124,1.1394472,1.0870911,0.052356124,0.052356124,1.1143216,1.0834391,0.030882478,0.030882478,1.111809,1.0812049,0.030604124,0.030604124,1.1080402,1.0780249,0.03001535,0.03001535,1.1080402,1.0747908,0.03324938,0.03324938,1.1067839,1.0712107,0.035573125,0.035573125,1.0992463,1.0658346,0.033411622,0.033411622,1.0929648,1.0622417,0.030723095,0.030723095,1.0791457,1.0584534,0.02069223,0.02069223,1.0766332,1.0557811,0.020852089,0.020852089,1.0741206,1.0541637,0.019956946,0.019956946,1.0552764,1.0515573,0.0037190914,0.0037190914,0.03856014
