design_name,true_area_1,pred_area_1,error_1,abs_error_1,true_area_2,pred_area_2,error_2,abs_error_2,true_area_3,pred_area_3,error_3,abs_error_3,true_area_4,pred_area_4,error_4,abs_error_4,true_area_5,pred_area_5,error_5,abs_error_5,true_area_6,pred_area_6,error_6,abs_error_6,true_area_7,pred_area_7,error_7,abs_error_7,true_area_8,pred_area_8,error_8,abs_error_8,true_area_9,pred_area_9,error_9,abs_error_9,true_area_10,pred_area_10,error_10,abs_error_10,true_area_11,pred_area_11,error_11,abs_error_11,true_area_12,pred_area_12,error_12,abs_error_12,true_area_13,pred_area_13,error_13,abs_error_13,true_area_14,pred_area_14,error_14,abs_error_14,true_area_15,pred_area_15,error_15,abs_error_15,true_area_16,pred_area_16,error_16,abs_error_16,true_area_17,pred_area_17,error_17,abs_error_17,true_area_18,pred_area_18,error_18,abs_error_18,true_area_19,pred_area_19,error_19,abs_error_19,true_area_20,pred_area_20,error_20,abs_error_20,mean_abs_error
c7552,1.5595996,1.5059224,0.0536772,0.0536772,1.4767971,1.4263837,0.05041337,0.05041337,1.4076433,1.3803508,0.02729249,0.02729249,1.3694267,1.3456671,0.023759604,0.023759604,1.3648771,1.3276658,0.0372113,0.0372113,1.3484986,1.3211721,0.027326465,0.027326465,1.3321201,1.3102082,0.02191186,0.02191186,1.3293904,1.3019876,0.027402759,0.027402759,1.3284805,1.3006377,0.02784276,0.02784276,1.3212011,1.2971271,0.024073958,0.024073958,1.3202912,1.2894995,0.03079164,0.03079164,1.3148316,1.2857398,0.029091835,0.029091835,1.3130119,1.2805831,0.03242874,0.03242874,1.3130119,1.2791693,0.033842564,0.033842564,1.3102821,1.2810547,0.029227376,0.029227376,1.3075523,1.2827984,0.024753928,0.024753928,1.3020928,1.2790372,0.023055553,0.023055553,1.2975432,1.271334,0.026209116,0.026209116,1.2957234,1.2672701,0.02845335,0.02845335,1.2948135,1.2629132,0.031900287,0.031900287,0.030533308
c7552,1.6542311,1.6077918,0.04643929,0.04643929,1.6496816,1.6222776,0.02740395,0.02740395,1.4394904,1.4331737,0.006316781,0.006316781,1.4076433,1.3775771,0.030066252,0.030066252,1.3939946,1.3556037,0.038390875,0.038390875,1.3466789,1.3411998,0.0054790974,0.0054790974,1.3466789,1.3396024,0.007076502,0.007076502,1.344859,1.3351964,0.009662628,0.009662628,1.344859,1.3401828,0.004676223,0.004676223,1.344859,1.3352545,0.009604454,0.009604454,1.3366697,1.330651,0.0060186386,0.0060186386,1.3366697,1.3270432,0.009626508,0.009626508,1.3366697,1.3316602,0.005009532,0.005009532,1.3366697,1.336976,-0.00030636787,0.00030636787,1.3366697,1.3538048,-0.017135143,0.017135143,1.3366697,1.3577579,-0.021088243,0.021088243,1.3366697,1.3552487,-0.018579006,0.018579006,1.3175614,1.3123358,0.005225539,0.005225539,1.3157415,1.3120655,0.0036760569,0.0036760569,1.3102821,1.3095881,0.0006940365,0.0006940365,0.013623756
c7552,1.5595996,1.5059335,0.053666115,0.053666115,1.4949955,1.4482427,0.04675281,0.04675281,1.4458599,1.4185115,0.0273484,0.0273484,1.4030937,1.378785,0.024308681,0.024308681,1.3958144,1.3581145,0.037699938,0.037699938,1.3958144,1.3549488,0.04086566,0.04086566,1.3939946,1.361643,0.032351613,0.032351613,1.3566879,1.3386514,0.018036485,0.018036485,1.355778,1.3378907,0.017887235,0.017887235,1.3430392,1.3252934,0.017745733,0.017745733,1.3366697,1.3181392,0.018530488,0.018530488,1.3193812,1.3101928,0.009188414,0.009188414,1.3166515,1.3081456,0.008505821,0.008505821,1.3166515,1.3048539,0.011797547,0.011797547,1.3057325,1.2966334,0.009099126,0.009099126,1.3011829,1.2882413,0.012941599,0.012941599,1.2866242,1.2784319,0.008192301,0.008192301,1.2857143,1.2770281,0.008686185,0.008686185,1.2857143,1.273027,0.0126873255,0.0126873255,1.2857143,1.2718601,0.013854146,0.013854146,0.021507282
c7552,1.5595996,1.5088446,0.050755024,0.050755024,1.4713376,1.4420578,0.029279709,0.029279709,1.4285715,1.4151168,0.013454676,0.013454676,1.4212921,1.3949895,0.026302576,0.026302576,1.4212921,1.3933846,0.02790749,0.02790749,1.399454,1.3799852,0.019468784,0.019468784,1.399454,1.3774697,0.021984339,0.021984339,1.388535,1.3684818,0.020053267,0.020053267,1.3412193,1.3392348,0.001984477,0.001984477,1.3375796,1.3313615,0.0062180758,0.0062180758,1.322111,1.3191408,0.0029702187,0.0029702187,1.3184713,1.3089492,0.00952208,0.00952208,1.311192,1.3031697,0.008022308,0.008022308,1.3030027,1.2973115,0.0056911707,0.0056911707,1.2857143,1.293247,-0.007532716,0.007532716,1.2857143,1.2910031,-0.0052888393,0.0052888393,1.2829845,1.2830762,-9.1671944e-05,9.1671944e-05,1.2811646,1.2784885,0.0026761293,0.0026761293,1.2811646,1.2777003,0.0034643412,0.0034643412,1.2793449,1.2749604,0.0043845177,0.0043845177,0.01335262
c7552,1.6542311,1.5971498,0.057081223,0.057081223,1.4376706,1.4186357,0.019034863,0.019034863,1.4258417,1.3995184,0.026323318,0.026323318,1.3912648,1.3595529,0.031711936,0.031711936,1.3876251,1.3456404,0.041984677,0.041984677,1.3757962,1.3282039,0.047592282,0.047592282,1.3757962,1.3177062,0.05808997,0.05808997,1.3639673,1.2978796,0.06608772,0.06608772,1.3566879,1.2868066,0.06988132,0.06988132,1.3466789,1.2723446,0.074334264,0.074334264,1.3366697,1.2602255,0.07644415,0.07644415,1.2902639,1.2570504,0.033213496,0.033213496,1.2848043,1.2564542,0.028350115,0.028350115,1.2848043,1.2551045,0.029699802,0.029699802,1.2829845,1.2519091,0.031075358,0.031075358,1.278435,1.2518644,0.026570559,0.026570559,1.2711556,1.249941,0.021214604,0.021214604,1.2693357,1.2479467,0.021389008,0.021389008,1.2675159,1.2477909,0.019724965,0.019724965,1.266606,1.2402676,0.026338339,0.026338339,0.040307097
c7552,1.6542311,1.5656624,0.08856869,0.08856869,1.5368516,1.5178894,0.018962264,0.018962264,1.4667879,1.4616544,0.0051335096,0.0051335096,1.455869,1.4716723,-0.015803337,0.015803337,1.455869,1.4512522,0.0046167374,0.0046167374,1.455869,1.4619012,-0.0060322285,0.0060322285,1.4522293,1.4419506,0.010278702,0.010278702,1.3730664,1.3850801,-0.012013674,0.012013674,1.3439491,1.3542255,-0.010276437,0.010276437,1.3393995,1.3554786,-0.016079187,0.016079187,1.3375796,1.3629473,-0.025367737,0.025367737,1.3348498,1.3561318,-0.021281958,0.021281958,1.3312101,1.3489305,-0.017720342,0.017720342,1.3066424,1.3187253,-0.012082934,0.012082934,1.3066424,1.3221818,-0.015539408,0.015539408,1.2939036,1.3071535,-0.013249874,0.013249874,1.2939036,1.3058492,-0.011945605,0.011945605,1.2939036,1.3052372,-0.011333585,0.011333585,1.2939036,1.3010006,-0.007097006,0.007097006,1.2939036,1.295821,-0.0019173622,0.0019173622,0.01626503
c7552,1.8635123,1.7836928,0.07981944,0.07981944,1.5495906,1.5085672,0.041023374,0.041023374,1.4995451,1.4261973,0.07334781,0.07334781,1.4404004,1.4000902,0.040310144,0.040310144,1.4140128,1.3672754,0.046737432,0.046737432,1.378526,1.3473287,0.03119731,0.03119731,1.3685168,1.3392004,0.029316425,0.029316425,1.3594177,1.3261969,0.033220768,0.033220768,1.3202912,1.3125134,0.00777781,0.00777781,1.311192,1.3079257,0.0032663345,0.0032663345,1.3102821,1.3077421,0.0025399923,0.0025399923,1.2984531,1.299674,-0.0012209415,0.0012209415,1.2966332,1.2959101,0.00072312355,0.00072312355,1.2857143,1.293543,-0.007828712,0.007828712,1.2793449,1.2897438,-0.010398865,0.010398865,1.2747953,1.281746,-0.006950736,0.006950736,1.2747953,1.2789742,-0.0041788816,0.0041788816,1.2747953,1.2762351,-0.0014398098,0.0014398098,1.2729754,1.2683402,0.004635215,0.004635215,1.2675159,1.2652217,0.0022941828,0.0022941828,0.021411365
c7552,1.7534122,1.7062824,0.04712987,0.04712987,1.6715195,1.6269661,0.0445534,0.0445534,1.4595087,1.4322201,0.027288556,0.027288556,1.455869,1.4037161,0.052152872,0.052152872,1.4131029,1.3740467,0.039056182,0.039056182,1.3757962,1.3680671,0.0077290535,0.0077290535,1.3366697,1.33833,-0.001660347,0.001660347,1.3257507,1.3200835,0.0056672096,0.0056672096,1.312102,1.3176066,-0.005504608,0.005504608,1.312102,1.3173895,-0.005287528,0.005287528,1.312102,1.3126044,-0.00050246716,0.00050246716,1.312102,1.3117772,0.0003247261,0.0003247261,1.3057325,1.3106256,-0.0048930645,0.0048930645,1.3039126,1.3090552,-0.0051425695,0.0051425695,1.3030027,1.3057339,-0.002731204,0.002731204,1.3030027,1.3036101,-0.00060737133,0.00060737133,1.3030027,1.3048456,-0.0018428564,0.0018428564,1.3030027,1.3076295,-0.004626751,0.004626751,1.3030027,1.3064188,-0.0034160614,0.0034160614,1.3030027,1.3121243,-0.009121537,0.009121537,0.013461912
c7552,1.6542311,1.6117355,0.04249561,0.04249561,1.6496816,1.623906,0.025775552,0.025775552,1.5304823,1.5017926,0.028689742,0.028689742,1.4585987,1.4594058,-0.0008070469,0.0008070469,1.3876251,1.3950459,-0.0074207783,0.0074207783,1.3803458,1.3757765,0.004569292,0.004569292,1.3794359,1.3808063,-0.00137043,0.00137043,1.3621475,1.3759376,-0.013790131,0.013790131,1.3621475,1.4014014,-0.03925395,0.03925395,1.3621475,1.3807517,-0.018604279,0.018604279,1.3230209,1.3394326,-0.016411662,0.016411662,1.3193812,1.338103,-0.018721819,0.018721819,1.300273,1.3081478,-0.007874846,0.007874846,1.300273,1.3101319,-0.009858966,0.009858966,1.2984531,1.3036401,-0.0051870346,0.0051870346,1.2975432,1.2985342,-0.0009909868,0.0009909868,1.2838944,1.284144,-0.00024962425,0.00024962425,1.2811646,1.2734457,0.0077189207,0.0077189207,1.2793449,1.2741897,0.0051552057,0.0051552057,1.2738854,1.2720313,0.0018540621,0.0018540621,0.012839997
c7552,1.5595996,1.5238328,0.03576684,0.03576684,1.4949955,1.4564073,0.038588166,0.038588166,1.4440401,1.4240772,0.019962907,0.019962907,1.3858052,1.3863211,-0.0005158186,0.0005158186,1.3839854,1.3742292,0.0097562075,0.0097562075,1.3839854,1.3644267,0.019558668,0.019558668,1.3839854,1.3635865,0.020398855,0.020398855,1.3703367,1.3536727,0.016663909,0.016663909,1.3703367,1.3452085,0.025128126,0.025128126,1.366697,1.3324889,0.03420806,0.03420806,1.3539581,1.3267423,0.027215838,0.027215838,1.3539581,1.3224698,0.0314883,0.0314883,1.3066424,1.3095814,-0.0029389858,0.0029389858,1.3011829,1.3093879,-0.008205056,0.008205056,1.3011829,1.3043635,-0.003180623,0.003180623,1.2957234,1.3045466,-0.008823156,0.008823156,1.2948135,1.3036059,-0.0087924,0.0087924,1.2948135,1.2966468,-0.0018333197,0.0018333197,1.2829845,1.2918276,-0.008843064,0.008843064,1.2802547,1.2899423,-0.009687543,0.009687543,0.016577791
