design_name,true_area_1,pred_area_1,error_1,abs_error_1,true_area_2,pred_area_2,error_2,abs_error_2,true_area_3,pred_area_3,error_3,abs_error_3,true_area_4,pred_area_4,error_4,abs_error_4,true_area_5,pred_area_5,error_5,abs_error_5,true_area_6,pred_area_6,error_6,abs_error_6,true_area_7,pred_area_7,error_7,abs_error_7,true_area_8,pred_area_8,error_8,abs_error_8,true_area_9,pred_area_9,error_9,abs_error_9,true_area_10,pred_area_10,error_10,abs_error_10,true_area_11,pred_area_11,error_11,abs_error_11,true_area_12,pred_area_12,error_12,abs_error_12,true_area_13,pred_area_13,error_13,abs_error_13,true_area_14,pred_area_14,error_14,abs_error_14,true_area_15,pred_area_15,error_15,abs_error_15,true_area_16,pred_area_16,error_16,abs_error_16,true_area_17,pred_area_17,error_17,abs_error_17,true_area_18,pred_area_18,error_18,abs_error_18,true_area_19,pred_area_19,error_19,abs_error_19,true_area_20,pred_area_20,error_20,abs_error_20,mean_abs_error
i2c,1.7431507,1.6708664,0.07228434,0.07228434,1.7157534,1.6332663,0.08248711,0.08248711,1.6815069,1.6050982,0.076408625,0.076408625,1.6746576,1.6060956,0.06856203,0.06856203,1.6609589,1.5705152,0.09044373,0.09044373,1.6592466,1.565598,0.09364855,0.09364855,1.6592466,1.5645171,0.09472942,0.09472942,1.6575342,1.5649748,0.09255946,0.09255946,1.6558219,1.5608052,0.09501672,0.09501672,1.650685,1.5511721,0.099512815,0.099512815,1.650685,1.5535529,0.09713209,0.09713209,1.645548,1.5416062,0.1039418,0.1039418,1.6438357,1.5337472,0.11008847,0.11008847,1.6284246,1.5140004,0.11442423,0.11442423,1.6147261,1.5077173,0.107008815,0.107008815,1.599315,1.5024248,0.09689021,0.09689021,1.599315,1.5023316,0.09698343,0.09698343,1.5821918,1.4937273,0.0884645,0.0884645,1.5753424,1.48587,0.08947241,0.08947241,1.5702055,1.4772267,0.092978716,0.092978716,0.093151875
i2c,1.9982877,1.8861262,0.11216152,0.11216152,1.7910959,1.6916012,0.099494696,0.099494696,1.7071918,1.6331955,0.073996305,0.073996305,1.6438357,1.594664,0.049171686,0.049171686,1.6438357,1.5838369,0.05999875,0.05999875,1.6369863,1.5720918,0.06489444,0.06489444,1.630137,1.5504087,0.079728246,0.079728246,1.630137,1.5449572,0.085179806,0.085179806,1.599315,1.5292953,0.07001972,0.07001972,1.5924658,1.5229957,0.06947005,0.06947005,1.5804795,1.5168648,0.063614726,0.063614726,1.5736301,1.5136536,0.05997646,0.05997646,1.5667808,1.5039275,0.06285334,0.06285334,1.5428082,1.4881116,0.05469656,0.05469656,1.525685,1.4815805,0.044104457,0.044104457,1.5188357,1.4759935,0.04284215,0.04284215,1.5188357,1.4701846,0.0486511,0.0486511,1.5188357,1.4689507,0.049884915,0.049884915,1.5188357,1.4669608,0.051874876,0.051874876,1.5188357,1.4682807,0.05055499,0.05055499,0.06465844
i2c,1.7962328,1.7375861,0.05864668,0.05864668,1.7654109,1.6727538,0.09265709,0.09265709,1.7568493,1.6670959,0.08975339,0.08975339,1.6797945,1.6055794,0.07421517,0.07421517,1.6729453,1.5959399,0.07700539,0.07700539,1.6095891,1.5546676,0.054921508,0.054921508,1.6078767,1.5426928,0.06518388,0.06518388,1.5873288,1.5316147,0.05571413,0.05571413,1.5873288,1.5283918,0.058936954,0.058936954,1.5873288,1.5233393,0.06398952,0.06398952,1.5873288,1.5229946,0.064334154,0.064334154,1.5873288,1.5197145,0.06761432,0.06761432,1.5873288,1.5184858,0.06884301,0.06884301,1.5873288,1.513873,0.07345581,0.07345581,1.5684931,1.504164,0.06432915,0.06432915,1.5684931,1.49902,0.06947315,0.06947315,1.5650685,1.4925292,0.07253933,0.07253933,1.5650685,1.4910536,0.0740149,0.0740149,1.5547945,1.4885828,0.0662117,0.0662117,1.5376712,1.4842874,0.053383827,0.053383827,0.068261154
i2c,1.75,1.6847639,0.06523609,0.06523609,1.7208904,1.6435182,0.07737219,0.07737219,1.7208904,1.6385247,0.08236575,0.08236575,1.6986301,1.6217856,0.076844454,0.076844454,1.6335616,1.5669115,0.06665015,0.06665015,1.6318493,1.5517677,0.08008158,0.08008158,1.5736301,1.5158751,0.057754993,0.057754993,1.5736301,1.5052503,0.06837976,0.06837976,1.5667808,1.498549,0.06823182,0.06823182,1.5599315,1.4903915,0.069540024,0.069540024,1.5565069,1.4856119,0.07089496,0.07089496,1.5530822,1.4821887,0.070893526,0.070893526,1.5445205,1.4749638,0.06955671,0.06955671,1.5445205,1.4744493,0.07007122,0.07007122,1.5445205,1.4726788,0.07184172,0.07184172,1.5445205,1.4688716,0.075648904,0.075648904,1.5342466,1.4674443,0.06680226,0.06680226,1.5308219,1.4657426,0.06507933,0.06507933,1.520548,1.4644929,0.05605507,0.05605507,1.520548,1.4647969,0.055751085,0.055751085,0.06925258
i2c,1.75,1.6783559,0.07164407,0.07164407,1.7226027,1.6545497,0.06805301,0.06805301,1.7106165,1.6289222,0.081694245,0.081694245,1.7089041,1.6442646,0.06463957,0.06463957,1.6917808,1.6456465,0.046134353,0.046134353,1.6797945,1.6386745,0.041120052,0.041120052,1.6558219,1.6259571,0.029864788,0.029864788,1.6558219,1.6141231,0.041698813,0.041698813,1.6421233,1.5799909,0.062132478,0.062132478,1.6404109,1.5693362,0.071074724,0.071074724,1.5702055,1.513059,0.05714643,0.05714643,1.5136986,1.4769648,0.036733747,0.036733747,1.5119863,1.4752513,0.03673494,0.03673494,1.5068493,1.4692075,0.037641764,0.037641764,1.5068493,1.4647943,0.04205501,0.04205501,1.5034246,1.4597592,0.04366541,0.04366541,1.5017123,1.4579942,0.0437181,0.0437181,1.5,1.4569554,0.043044567,0.043044567,1.5,1.4571241,0.042875886,0.042875886,1.4965754,1.4534926,0.043082714,0.043082714,0.050237734
i2c,1.9332192,1.842236,0.09098315,0.09098315,1.9297945,1.8277624,0.102032185,0.102032185,1.7465754,1.6565101,0.09006524,0.09006524,1.7071918,1.6464593,0.060732484,0.060732484,1.7071918,1.6439416,0.063250184,0.063250184,1.6267123,1.5623811,0.064331174,0.064331174,1.5684931,1.519173,0.0493201,0.0493201,1.5667808,1.5075356,0.05924523,0.05924523,1.5667808,1.5034331,0.0633477,0.0633477,1.5530822,1.4921032,0.06097901,0.06097901,1.5462328,1.4858453,0.060387492,0.060387492,1.5445205,1.4806793,0.06384122,0.06384122,1.5445205,1.4795371,0.06498337,0.06498337,1.5445205,1.476253,0.068267465,0.068267465,1.5445205,1.4748038,0.06971669,0.06971669,1.5325342,1.4707152,0.061819077,0.061819077,1.5308219,1.4656833,0.06513858,0.06513858,1.5273973,1.463213,0.06418431,0.06418431,1.5273973,1.4654217,0.0619756,0.0619756,1.5239726,1.4652885,0.05868411,0.05868411,0.06716422
i2c,1.7910959,1.7408531,0.05024278,0.05024278,1.7363014,1.6372666,0.099034786,0.099034786,1.6729453,1.603221,0.0697242,0.0697242,1.6712328,1.5864106,0.08482218,0.08482218,1.625,1.5565028,0.06849718,0.06849718,1.6232877,1.5444423,0.07884538,0.07884538,1.6215754,1.5286187,0.09295666,0.09295666,1.6095891,1.5289841,0.08060503,0.08060503,1.604452,1.524948,0.07950401,0.07950401,1.5907534,1.5187635,0.071989894,0.071989894,1.5667808,1.506242,0.06053877,0.06053877,1.5565069,1.4980143,0.05849254,0.05849254,1.5462328,1.4903835,0.055849314,0.055849314,1.5359589,1.4802657,0.05569315,0.05569315,1.5359589,1.4734976,0.062461257,0.062461257,1.5325342,1.4757497,0.05678451,0.05678451,1.5291096,1.4704392,0.0586704,0.0586704,1.5291096,1.4693334,0.059776187,0.059776187,1.5273973,1.4677283,0.059669018,0.059669018,1.5273973,1.4702009,0.05719638,0.05719638,0.068067685
i2c,1.75,1.6709397,0.079060316,0.079060316,1.7226027,1.6532536,0.06934917,0.06934917,1.6541096,1.5801058,0.074003816,0.074003816,1.5941781,1.5454056,0.048772454,0.048772454,1.5633562,1.5247386,0.03861761,0.03861761,1.5599315,1.5169898,0.04294169,0.04294169,1.5513699,1.5034049,0.04796505,0.04796505,1.5410959,1.4925122,0.048583627,0.048583627,1.5325342,1.4786941,0.05384016,0.05384016,1.5136986,1.4651134,0.048585176,0.048585176,1.5068493,1.458945,0.047904253,0.047904253,1.5068493,1.4543295,0.0525198,0.0525198,1.505137,1.4568794,0.04825759,0.04825759,1.5017123,1.4569527,0.04475963,0.04475963,1.5,1.4552941,0.044705868,0.044705868,1.5,1.4564002,0.043599844,0.043599844,1.5,1.45626,0.043740034,0.043740034,1.5,1.456105,0.043895006,0.043895006,1.5,1.4539043,0.04609573,0.04609573,1.5,1.4561987,0.043801308,0.043801308,0.050549906
i2c,1.7962328,1.7152524,0.08098042,0.08098042,1.6780822,1.6099678,0.0681144,0.0681144,1.6095891,1.5517111,0.057878017,0.057878017,1.6010274,1.5411196,0.059907794,0.059907794,1.5924658,1.5265316,0.06593418,0.06593418,1.5770547,1.5188519,0.058202863,0.058202863,1.5684931,1.5051827,0.063310385,0.063310385,1.5684931,1.5012473,0.06724584,0.06724584,1.5513699,1.4912388,0.060131073,0.060131073,1.5359589,1.4837976,0.052161336,0.052161336,1.5359589,1.48385,0.052108884,0.052108884,1.5291096,1.4793202,0.04978943,0.04978943,1.5222603,1.4779865,0.044273853,0.044273853,1.5222603,1.4758897,0.046370625,0.046370625,1.5119863,1.4648117,0.047174573,0.047174573,1.5017123,1.4551446,0.04656768,0.04656768,1.5017123,1.4534928,0.04821956,0.04821956,1.5017123,1.451754,0.04995835,0.04995835,1.5017123,1.4573668,0.044345498,0.044345498,1.5017123,1.4572005,0.044511795,0.044511795,0.055359326
i2c,1.7962328,1.7360648,0.060168028,0.060168028,1.7654109,1.6706204,0.09479046,0.09479046,1.6832192,1.606157,0.07706225,0.07706225,1.6369863,1.5664618,0.070524454,0.070524454,1.6318493,1.5649381,0.06691122,0.06691122,1.604452,1.5405186,0.06393337,0.06393337,1.6010274,1.5291114,0.071915984,0.071915984,1.5941781,1.5240958,0.07008231,0.07008231,1.5941781,1.5196594,0.07451868,0.07451868,1.5941781,1.5162945,0.0778836,0.0778836,1.5856165,1.5053409,0.080275536,0.080275536,1.5856165,1.5038325,0.08178401,0.08178401,1.5821918,1.5046104,0.077581406,0.077581406,1.5496576,1.4923068,0.057350755,0.057350755,1.5496576,1.4878697,0.061787844,0.061787844,1.5496576,1.4868402,0.062817335,0.062817335,1.5496576,1.486086,0.06357157,0.06357157,1.5496576,1.4859214,0.0637362,0.0637362,1.5462328,1.4813671,0.06486571,0.06486571,1.5462328,1.4799343,0.066298485,0.066298485,0.07039296
