design_name,true_area_1,pred_area_1,error_1,abs_error_1,true_area_2,pred_area_2,error_2,abs_error_2,true_area_3,pred_area_3,error_3,abs_error_3,true_area_4,pred_area_4,error_4,abs_error_4,true_area_5,pred_area_5,error_5,abs_error_5,true_area_6,pred_area_6,error_6,abs_error_6,true_area_7,pred_area_7,error_7,abs_error_7,true_area_8,pred_area_8,error_8,abs_error_8,true_area_9,pred_area_9,error_9,abs_error_9,true_area_10,pred_area_10,error_10,abs_error_10,true_area_11,pred_area_11,error_11,abs_error_11,true_area_12,pred_area_12,error_12,abs_error_12,true_area_13,pred_area_13,error_13,abs_error_13,true_area_14,pred_area_14,error_14,abs_error_14,true_area_15,pred_area_15,error_15,abs_error_15,true_area_16,pred_area_16,error_16,abs_error_16,true_area_17,pred_area_17,error_17,abs_error_17,true_area_18,pred_area_18,error_18,abs_error_18,true_area_19,pred_area_19,error_19,abs_error_19,true_area_20,pred_area_20,error_20,abs_error_20,mean_abs_error
max,2.0006983,2.088636,-0.08793759,0.08793759,2.0006983,2.0864642,-0.08576584,0.08576584,2.0006983,2.0852969,-0.08459854,0.08459854,2.0006983,2.08395,-0.083251715,0.083251715,2.0006983,2.0842333,-0.083534956,0.083534956,2.0006983,2.084017,-0.08331871,0.08331871,2.0006983,2.0847769,-0.08407855,0.08407855,1.9797486,2.0847006,-0.10495198,0.10495198,1.9797486,2.0848634,-0.10511482,0.10511482,1.9797486,2.0847542,-0.10500562,0.10500562,1.9797486,2.0840127,-0.10426414,0.10426414,1.9797486,2.0837765,-0.10402787,0.10402787,1.9797486,2.0831525,-0.103403926,0.103403926,1.9797486,2.0832455,-0.10349691,0.10349691,1.9797486,2.0827644,-0.10301578,0.10301578,1.9797486,2.083469,-0.10372031,0.10372031,1.9797486,2.0827253,-0.10297668,0.10297668,1.9797486,2.0826166,-0.10286796,0.10286796,1.9790503,2.0818598,-0.10280955,0.10280955,1.9790503,2.0808346,-0.10178435,0.10178435,0.09699629
max,2.0006983,2.089223,-0.08852458,0.08852458,2.0,2.086442,-0.08644199,0.08644199,1.9797486,2.084806,-0.10505736,0.10505736,1.9797486,2.0849102,-0.10516155,0.10516155,1.9797486,2.084232,-0.104483485,0.104483485,1.9797486,2.083197,-0.10344851,0.10344851,1.9797486,2.0831578,-0.10340917,0.10340917,1.9797486,2.08304,-0.10329139,0.10329139,1.9797486,2.0836132,-0.10386455,0.10386455,1.9797486,2.0841813,-0.1044327,0.1044327,1.9797486,2.0840929,-0.10434425,0.10434425,1.9797486,2.0841882,-0.104439616,0.104439616,1.9797486,2.0835838,-0.103835225,0.103835225,1.9797486,2.083279,-0.10353029,0.10353029,1.9797486,2.0824,-0.10265148,0.10265148,1.9797486,2.0822403,-0.10249174,0.10249174,1.9797486,2.0818617,-0.10211313,0.10211313,1.9797486,2.0820243,-0.10227573,0.10227573,1.9797486,2.0821433,-0.1023947,0.1023947,1.9797486,2.0821302,-0.10238159,0.10238159,0.10192865
max,2.0006983,2.0884814,-0.0877831,0.0877831,2.0006983,2.086879,-0.08618069,0.08618069,1.9965084,2.0856016,-0.08909321,0.08909321,1.9965084,2.08537,-0.088861704,0.088861704,1.9965084,2.085244,-0.08873558,0.08873558,1.9965084,2.084454,-0.0879457,0.0879457,1.9965084,2.0831656,-0.086657286,0.086657286,1.9769553,2.0829754,-0.10602009,0.10602009,1.9769553,2.082301,-0.10534561,0.10534561,1.9769553,2.0821142,-0.105158925,0.105158925,1.9769553,2.0821564,-0.105201125,0.105201125,1.9769553,2.0828571,-0.10590184,0.10590184,1.9769553,2.0841444,-0.10718906,0.10718906,1.9769553,2.0847049,-0.10774958,0.10774958,1.9769553,2.084728,-0.10777271,0.10777271,1.9769553,2.0839977,-0.10704243,0.10704243,1.9769553,2.082811,-0.10585582,0.10585582,1.976257,2.0828938,-0.10663688,0.10663688,1.976257,2.081442,-0.10518515,0.10518515,1.976257,2.0806324,-0.10437548,0.10437548,0.0997346
max,2.0006983,2.0894876,-0.088789225,0.088789225,2.0,2.0868263,-0.086826324,0.086826324,2.0,2.0858288,-0.08582878,0.08582878,1.9972067,2.084885,-0.087678194,0.087678194,1.9972067,2.0844452,-0.08723855,0.08723855,1.9972067,2.0849123,-0.08770561,0.08770561,1.9790503,2.0845206,-0.1054703,0.1054703,1.9790503,2.0839975,-0.10494721,0.10494721,1.9790503,2.0844421,-0.10539186,0.10539186,1.9790503,2.0836756,-0.104625344,0.104625344,1.9790503,2.083322,-0.10427177,0.10427177,1.9790503,2.0839186,-0.10486829,0.10486829,1.9790503,2.0837514,-0.10470116,0.10470116,1.9790503,2.0833814,-0.104331136,0.104331136,1.9790503,2.0836036,-0.10455334,0.10455334,1.9790503,2.0826516,-0.10360134,0.10360134,1.9790503,2.0823724,-0.10332215,0.10332215,1.9776536,2.0826967,-0.10504305,0.10504305,1.9776536,2.0829473,-0.10529363,0.10529363,1.9776536,2.0821617,-0.10450804,0.10450804,0.09944977
max,2.0006983,2.0887558,-0.08805752,0.08805752,2.0006983,2.0872042,-0.08650589,0.08650589,2.0006983,2.086049,-0.08535075,0.08535075,2.0006983,2.085535,-0.08483672,0.08483672,2.0006983,2.0850396,-0.08434129,0.08434129,2.0006983,2.0834854,-0.08278704,0.08278704,2.0006983,2.0830781,-0.08237982,0.08237982,1.9797486,2.0831137,-0.10336506,0.10336506,1.9797486,2.0827093,-0.102960706,0.102960706,1.9797486,2.0829659,-0.103217244,0.103217244,1.9797486,2.082834,-0.1030854,0.1030854,1.9797486,2.0828528,-0.103104234,0.103104234,1.9797486,2.0821812,-0.10243261,0.10243261,1.9797486,2.0821526,-0.102404,0.102404,1.9797486,2.0818877,-0.102139115,0.102139115,1.9797486,2.0819619,-0.10221326,0.10221326,1.9790503,2.0825818,-0.10353148,0.10353148,1.9790503,2.0830958,-0.10404551,0.10404551,1.9790503,2.0823603,-0.10330999,0.10330999,1.9790503,2.0823834,-0.103333116,0.103333116,0.09667004
max,2.0006983,2.0889595,-0.08826113,0.08826113,2.0006983,2.0860803,-0.085381985,0.085381985,2.0006983,2.085069,-0.08437061,0.08437061,2.0006983,2.0835428,-0.082844496,0.082844496,1.9797486,2.0830019,-0.103253245,0.103253245,1.9797486,2.0829003,-0.10315168,0.10315168,1.9797486,2.0835428,-0.10379422,0.10379422,1.9797486,2.0842042,-0.10445559,0.10445559,1.9797486,2.084268,-0.10451949,0.10451949,1.9797486,2.0838113,-0.10406268,0.10406268,1.9797486,2.0831919,-0.103443265,0.103443265,1.9797486,2.083466,-0.10371745,0.10371745,1.9797486,2.083824,-0.10407531,0.10407531,1.9797486,2.0833833,-0.103634715,0.103634715,1.9797486,2.0828857,-0.103137136,0.103137136,1.9797486,2.0835414,-0.10379279,0.10379279,1.9797486,2.0832012,-0.10345256,0.10345256,1.9797486,2.082547,-0.10279834,0.10279834,1.9797486,2.0816252,-0.10187662,0.10187662,1.9790503,2.081442,-0.10239184,0.10239184,0.099820755
max,2.0006983,2.0900679,-0.089369535,0.089369535,2.0006983,2.087837,-0.08713865,0.08713865,2.0006983,2.0864975,-0.08579922,0.08579922,2.0006983,2.085251,-0.084552765,0.084552765,2.0006983,2.0850625,-0.084364176,0.084364176,2.0006983,2.0842726,-0.083574295,0.083574295,2.0006983,2.0831988,-0.08250046,0.08250046,2.0006983,2.083347,-0.082648754,0.082648754,2.0006983,2.0841653,-0.08346701,0.08346701,1.9797486,2.0839322,-0.104183555,0.104183555,1.9797486,2.083722,-0.10397351,0.10397351,1.9797486,2.0829706,-0.10322201,0.10322201,1.9797486,2.0837514,-0.10400283,0.10400283,1.9797486,2.0836477,-0.10389912,0.10389912,1.9797486,2.083441,-0.10369241,0.10369241,1.9797486,2.0834937,-0.1037451,0.1037451,1.9797486,2.0836134,-0.10386479,0.10386479,1.9797486,2.0823174,-0.102568746,0.102568746,1.9797486,2.0813372,-0.10158861,0.10158861,1.978352,2.0805523,-0.10220039,0.10220039,0.0950178
max,2.0006983,2.0885904,-0.087892056,0.087892056,2.0,2.0856955,-0.085695505,0.085695505,1.9993017,2.0839038,-0.08460212,0.08460212,1.9993017,2.0833566,-0.08405495,0.08405495,1.9993017,2.082902,-0.08360028,0.08360028,1.997905,2.0832403,-0.085335255,0.085335255,1.997905,2.0834086,-0.08550358,0.08550358,1.997905,2.0843298,-0.08642483,0.08642483,1.9965084,2.0844452,-0.08793688,0.08793688,1.9881285,2.0849462,-0.09681761,0.09681761,1.9860336,2.0845218,-0.09848821,0.09848821,1.9860336,2.084425,-0.09839141,0.09839141,1.9860336,2.0836143,-0.09758079,0.09758079,1.9860336,2.0829878,-0.09695423,0.09695423,1.9860336,2.0836053,-0.09757173,0.09757173,1.9860336,2.0829432,-0.09690964,0.09690964,1.9860336,2.0833116,-0.097278,0.097278,1.9860336,2.0827835,-0.0967499,0.0967499,1.9860336,2.0829287,-0.0968951,0.0968951,1.9860336,2.0820198,-0.09598625,0.09598625,0.092033416
max,2.0006983,2.0880907,-0.08739233,0.08739233,2.0006983,2.085674,-0.08497572,0.08497572,2.0006983,2.0845294,-0.08383107,0.08383107,2.0006983,2.083343,-0.0826447,0.0826447,2.0006983,2.0838852,-0.083186865,0.083186865,1.9965084,2.0832288,-0.08672047,0.08672047,1.9965084,2.0834937,-0.08698535,0.08698535,1.9965084,2.083136,-0.08662772,0.08662772,1.9965084,2.0841563,-0.087647915,0.087647915,1.9965084,2.084168,-0.0876596,0.0876596,1.9965084,2.0842946,-0.0877862,0.0877862,1.9965084,2.0834234,-0.086915016,0.086915016,1.9965084,2.0840158,-0.08750749,0.08750749,1.9965084,2.0836706,-0.087162256,0.087162256,1.9965084,2.0832407,-0.08673239,0.08673239,1.9965084,2.0836833,-0.08717489,0.08717489,1.9965084,2.082697,-0.086188555,0.086188555,1.9965084,2.083094,-0.08658552,0.08658552,1.9965084,2.0824614,-0.085953,0.085953,1.9965084,2.0824907,-0.08598232,0.08598232,0.08628297
max,2.0006983,2.0885015,-0.087803125,0.087803125,2.0006983,2.085053,-0.08435464,0.08435464,2.0006983,2.0839121,-0.083213806,0.083213806,1.9965084,2.0836682,-0.08715987,0.08715987,1.9965084,2.0835063,-0.086997986,0.086997986,1.9965084,2.0837746,-0.08726621,0.08726621,1.9965084,2.0842779,-0.08776951,0.08776951,1.9951117,2.083876,-0.08876419,0.08876419,1.9951117,2.0830445,-0.087932825,0.087932825,1.9951117,2.0830877,-0.08797598,0.08797598,1.9951117,2.083743,-0.08863139,0.08863139,1.993715,2.083004,-0.08928895,0.08928895,1.993715,2.0831041,-0.089389086,0.089389086,1.993715,2.083076,-0.08936095,0.08936095,1.993715,2.0839224,-0.09020734,0.09020734,1.993715,2.0843215,-0.09060645,0.09060645,1.993715,2.083692,-0.089977026,0.089977026,1.993715,2.0839803,-0.090265274,0.090265274,1.993715,2.0837917,-0.090076685,0.090076685,1.993715,2.0832922,-0.0895772,0.0895772,0.088330925
