design_name,true_area_1,pred_area_1,error_1,abs_error_1,true_area_2,pred_area_2,error_2,abs_error_2,true_area_3,pred_area_3,error_3,abs_error_3,true_area_4,pred_area_4,error_4,abs_error_4,true_area_5,pred_area_5,error_5,abs_error_5,true_area_6,pred_area_6,error_6,abs_error_6,true_area_7,pred_area_7,error_7,abs_error_7,true_area_8,pred_area_8,error_8,abs_error_8,true_area_9,pred_area_9,error_9,abs_error_9,true_area_10,pred_area_10,error_10,abs_error_10,true_area_11,pred_area_11,error_11,abs_error_11,true_area_12,pred_area_12,error_12,abs_error_12,true_area_13,pred_area_13,error_13,abs_error_13,true_area_14,pred_area_14,error_14,abs_error_14,true_area_15,pred_area_15,error_15,abs_error_15,true_area_16,pred_area_16,error_16,abs_error_16,true_area_17,pred_area_17,error_17,abs_error_17,true_area_18,pred_area_18,error_18,abs_error_18,true_area_19,pred_area_19,error_19,abs_error_19,true_area_20,pred_area_20,error_20,abs_error_20,mean_abs_error
sasc,1.9575163,1.9431912,0.014325142,0.014325142,1.9411764,1.9300001,0.011176348,0.011176348,1.9379085,1.9227912,0.015117288,0.015117288,1.9313725,1.9185535,0.012819052,0.012819052,1.9313725,1.9172462,0.014126301,0.014126301,1.9183006,1.9158229,0.002477765,0.002477765,1.9150326,1.9155805,-0.0005478859,0.0005478859,1.9150326,1.9157054,-0.00067281723,0.00067281723,1.9150326,1.914978,5.4597855e-05,5.4597855e-05,1.9150326,1.9152975,-0.00026488304,0.00026488304,1.9150326,1.9153193,-0.00028669834,0.00028669834,1.9150326,1.9147679,0.00026476383,0.00026476383,1.9150326,1.9146593,0.0003733635,0.0003733635,1.9150326,1.9153336,-0.00030100346,0.00030100346,1.9150326,1.9156045,-0.00057184696,0.00057184696,1.9150326,1.9154521,-0.0004194975,0.0004194975,1.9150326,1.9135094,0.0015232563,0.0015232563,1.9150326,1.9113686,0.0036640167,0.0036640167,1.9150326,1.910389,0.0046436787,0.0046436787,1.9150326,1.9106851,0.004347563,0.004347563,0.0043988884
sasc,1.9542483,1.9434904,0.010757923,0.010757923,1.9477124,1.9314696,0.016242862,0.016242862,1.9477124,1.9248415,0.022870898,0.022870898,1.9444444,1.9197693,0.02467513,0.02467513,1.9379085,1.917196,0.020712495,0.020712495,1.9313725,1.9163191,0.015053391,0.015053391,1.9248366,1.9148844,0.009952188,0.009952188,1.9215686,1.9151332,0.0064353943,0.0064353943,1.9215686,1.915817,0.00575161,0.00575161,1.9150326,1.914701,0.00033164024,0.00033164024,1.9117647,1.9141191,-0.0023543835,0.0023543835,1.9117647,1.914643,-0.0028783083,0.0028783083,1.9117647,1.9159236,-0.0041588545,0.0041588545,1.9117647,1.9156123,-0.003847599,0.003847599,1.9117647,1.9162371,-0.004472375,0.004472375,1.9117647,1.9155194,-0.0037546158,0.0037546158,1.9117647,1.9136643,-0.0018996,0.0018996,1.9117647,1.9131072,-0.0013424158,0.0013424158,1.9117647,1.9110564,0.0007083416,0.0007083416,1.9117647,1.9116741,9.059906e-05,9.059906e-05,0.007914531
sasc,2.003268,1.944745,0.05852306,0.05852306,1.9607843,1.9312037,0.029580593,0.029580593,1.9542483,1.923261,0.030987263,0.030987263,1.9509804,1.9191102,0.031870246,0.031870246,1.9509804,1.9177612,0.03321922,0.03321922,1.9379085,1.9152659,0.022642612,0.022642612,1.9281045,1.9142305,0.013874054,0.013874054,1.9117647,1.9147767,-0.003011942,0.003011942,1.9084967,1.9154832,-0.006986499,0.006986499,1.9084967,1.916451,-0.00795424,0.00795424,1.9052287,1.9160167,-0.010787964,0.010787964,1.9052287,1.9150392,-0.009810448,0.009810448,1.9052287,1.9142679,-0.009039164,0.009039164,1.9052287,1.9144031,-0.009174347,0.009174347,1.9052287,1.9138682,-0.008639455,0.008639455,1.9052287,1.9138606,-0.008631825,0.008631825,1.9052287,1.914503,-0.009274244,0.009274244,1.9052287,1.9126272,-0.007398486,0.007398486,1.9052287,1.9115497,-0.0063209534,0.0063209534,1.9019607,1.9116415,-0.009680748,0.009680748,0.016370367
sasc,1.9607843,1.9430193,0.017765045,0.017765045,1.9542483,1.9308747,0.023373604,0.023373604,1.9542483,1.9247125,0.02953577,0.02953577,1.9411764,1.9208345,0.020341873,0.020341873,1.9346405,1.917528,0.017112494,0.017112494,1.9346405,1.9158981,0.018742442,0.018742442,1.9313725,1.9154766,0.015895963,0.015895963,1.9313725,1.9142559,0.017116666,0.017116666,1.9281045,1.9140161,0.014088392,0.014088392,1.9281045,1.9149647,0.013139844,0.013139844,1.9281045,1.9142468,0.013857722,0.013857722,1.9281045,1.9143996,0.013704896,0.013704896,1.9215686,1.9141432,0.0074254274,0.0074254274,1.9215686,1.9142098,0.0073587894,0.0073587894,1.9215686,1.9135557,0.008012891,0.008012891,1.9215686,1.9134402,0.008128405,0.008128405,1.9215686,1.9124665,0.009102106,0.009102106,1.9215686,1.9116473,0.009921312,0.009921312,1.9215686,1.9111397,0.0104289055,0.0104289055,1.9215686,1.9109454,0.010623217,0.010623217,0.014283788
sasc,1.9542483,1.9427005,0.011547804,0.011547804,1.9444444,1.9295082,0.014936209,0.014936209,1.9411764,1.9221365,0.01903987,0.01903987,1.9346405,1.9188893,0.015751243,0.015751243,1.9313725,1.9171568,0.014215708,0.014215708,1.9281045,1.9170301,0.011074424,0.011074424,1.9281045,1.9175398,0.010564685,0.010564685,1.9248366,1.9170586,0.0077780485,0.0077780485,1.9248366,1.9157885,0.009048104,0.009048104,1.9183006,1.9151638,0.0031368732,0.0031368732,1.9183006,1.9153967,0.0029039383,0.0029039383,1.9183006,1.9156492,0.002651453,0.002651453,1.9183006,1.9140211,0.0042794943,0.0042794943,1.9117647,1.9135182,-0.0017534494,0.0017534494,1.9117647,1.9139166,-0.002151847,0.002151847,1.9117647,1.9136633,-0.0018985271,0.0018985271,1.9084967,1.914422,-0.0059252977,0.0059252977,1.9084967,1.9135628,-0.005066037,0.005066037,1.9084967,1.9129733,-0.0044765472,0.0044765472,1.9084967,1.9129742,-0.004477501,0.004477501,0.007633853
sasc,1.9771242,1.944149,0.032975197,0.032975197,1.9771242,1.9320881,0.045036077,0.045036077,1.9509804,1.9236542,0.027326226,0.027326226,1.9444444,1.9188677,0.02557671,0.02557671,1.9444444,1.9167974,0.027647018,0.027647018,1.9444444,1.9162531,0.028191328,0.028191328,1.9346405,1.9155989,0.019041657,0.019041657,1.9313725,1.9158148,0.015557766,0.015557766,1.9313725,1.9162619,0.015110612,0.015110612,1.9313725,1.9154608,0.015911698,0.015911698,1.9313725,1.9137058,0.017666698,0.017666698,1.9313725,1.9135469,0.017825603,0.017825603,1.9313725,1.9142605,0.017112017,0.017112017,1.9313725,1.915067,0.016305566,0.016305566,1.9313725,1.9153982,0.015974283,0.015974283,1.9313725,1.9146266,0.016745925,0.016745925,1.9313725,1.913241,0.018131495,0.018131495,1.9313725,1.9113965,0.01997602,0.01997602,1.9248366,1.909924,0.014912605,0.014912605,1.9183006,1.9109719,0.0073287487,0.0073287487,0.020717662
sasc,1.9542483,1.9430125,0.011235833,0.011235833,1.9444444,1.9303387,0.014105678,0.014105678,1.9346405,1.9233674,0.011273146,0.011273146,1.9281045,1.918472,0.009632468,0.009632468,1.9215686,1.915902,0.0056666136,0.0056666136,1.9183006,1.9142172,0.004083395,0.004083395,1.9183006,1.9138851,0.004415512,0.004415512,1.9117647,1.9148647,-0.0030999184,0.0030999184,1.9117647,1.9150201,-0.0032553673,0.0032553673,1.9117647,1.9158843,-0.0041195154,0.0041195154,1.9117647,1.914978,-0.0032132864,0.0032132864,1.9084967,1.9145753,-0.006078601,0.006078601,1.9084967,1.9151706,-0.006673813,0.006673813,1.9084967,1.9149821,-0.006485343,0.006485343,1.9084967,1.9153967,-0.006899953,0.006899953,1.9084967,1.9138813,-0.0053845644,0.0053845644,1.9084967,1.9123453,-0.0038485527,0.0038485527,1.9052287,1.9116076,-0.006378889,0.006378889,1.9052287,1.9116246,-0.006395817,0.006395817,1.9052287,1.9124659,-0.007237196,0.007237196,0.006474173
sasc,1.9640523,1.9438852,0.020167112,0.020167112,1.9444444,1.9315773,0.012867093,0.012867093,1.9444444,1.9246931,0.01975131,0.01975131,1.9379085,1.9197551,0.018153429,0.018153429,1.9379085,1.9171734,0.020735145,0.020735145,1.9281045,1.9159572,0.012147307,0.012147307,1.9281045,1.9146194,0.013485074,0.013485074,1.9281045,1.9144775,0.013627052,0.013627052,1.9281045,1.9148831,0.013221383,0.013221383,1.9281045,1.9160265,0.012078047,0.012078047,1.9281045,1.9155257,0.012578845,0.012578845,1.9281045,1.9156382,0.012466311,0.012466311,1.9281045,1.9157553,0.012349248,0.012349248,1.9281045,1.9141026,0.0140019655,0.0140019655,1.9215686,1.9131055,0.008463144,0.008463144,1.9183006,1.9123673,0.0059332848,0.0059332848,1.9117647,1.9121615,-0.00039672852,0.00039672852,1.9084967,1.9121789,-0.0036821365,0.0036821365,1.9084967,1.9110185,-0.0025217533,0.0025217533,1.9084967,1.9118274,-0.0033307076,0.0033307076,0.011597854
sasc,1.9575163,1.942989,0.014527321,0.014527321,1.9509804,1.9300975,0.020882964,0.020882964,1.9444444,1.9232137,0.021230698,0.021230698,1.9444444,1.9202315,0.024212956,0.024212956,1.9444444,1.9178114,0.026633024,0.026633024,1.9444444,1.9170773,0.027367115,0.027367115,1.9444444,1.917859,0.02658546,0.02658546,1.9379085,1.9171402,0.020768285,0.020768285,1.9346405,1.9166722,0.017968297,0.017968297,1.9313725,1.91625,0.015122533,0.015122533,1.9313725,1.9151138,0.016258717,0.016258717,1.9313725,1.9139574,0.017415166,0.017415166,1.9281045,1.9134978,0.014606714,0.014606714,1.9248366,1.9134529,0.011383772,0.011383772,1.9215686,1.9129202,0.008648396,0.008648396,1.9150326,1.9125805,0.002452135,0.002452135,1.9150326,1.912598,0.0024346113,0.0024346113,1.9150326,1.9114277,0.003604889,0.003604889,1.9150326,1.9101099,0.0049227476,0.0049227476,1.9150326,1.9111676,0.0038650036,0.0038650036,0.01504454
sasc,2.003268,1.944717,0.058550954,0.058550954,1.9771242,1.9321128,0.0450114,0.0450114,1.9771242,1.9258881,0.051236153,0.051236153,1.9575163,1.9211993,0.03631699,0.03631699,1.9444444,1.9184456,0.02599883,0.02599883,1.9346405,1.9159558,0.018684745,0.018684745,1.9248366,1.9150404,0.009796262,0.009796262,1.9248366,1.9158108,0.009025812,0.009025812,1.9150326,1.9152961,-0.00026345253,0.00026345253,1.9150326,1.916041,-0.0010083914,0.0010083914,1.9117647,1.9153908,-0.0036261082,0.0036261082,1.9117647,1.915978,-0.004213214,0.004213214,1.9084967,1.9147371,-0.006240368,0.006240368,1.9052287,1.9140638,-0.008835077,0.008835077,1.9052287,1.9135791,-0.008350372,0.008350372,1.9052287,1.9132359,-0.008007169,0.008007169,1.9052287,1.9125223,-0.007293582,0.007293582,1.9052287,1.9126217,-0.0073930025,0.0073930025,1.9052287,1.9112989,-0.006070137,0.006070137,1.9052287,1.9121788,-0.006950021,0.006950021,0.016143601
