design_name,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,AND1,AND2,AND3,AND4,AND5,AND6,AND7,AND8,AND9,AND10,AND11,AND12,AND13,AND14,AND15,AND16,AND17,AND18,AND19,AND20,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18,Level19,Level20
bc0,refactor,refactor -z,refactor,resub -z,refactor,refactor -z,balance,resub,rewrite,rewrite -l,refactor -z,rewrite -z,rewrite -l,refactor,balance,resub,resub -z,rewrite,resub,resub -z,1157,1096,1065,951,938,934,897,881,870,867,865,850,843,839,836,825,825,822,821,821,25,23,23,23,23,22,20,20,20,20,20,20,20,20,19,19,19,19,19,19
bc0,refactor -z,resub -z,refactor -z,resub,rewrite -l,balance,resub,balance,refactor,resub -z,rewrite -l,rewrite,rewrite -z,rewrite -l,refactor -z,resub -z,resub,rewrite -l,balance,resub -z,1148,1008,964,940,892,888,879,879,877,871,869,869,865,863,860,846,844,837,837,830,23,22,22,22,22,22,21,21,21,21,21,21,21,21,21,21,21,21,20,20
bc0,refactor -z,rewrite -z,refactor -z,balance,rewrite -z,rewrite,refactor,resub -z,rewrite,refactor -z,rewrite -z,balance,rewrite -z,refactor -z,balance,resub -z,balance,rewrite,rewrite -z,balance,1148,1014,985,968,942,935,921,882,881,877,865,861,857,847,839,822,822,821,821,821,23,22,21,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18
bc0,rewrite,resub -z,refactor -z,balance,rewrite -l,resub,refactor -z,balance,refactor,resub,rewrite,refactor,balance,rewrite,rewrite -l,resub,refactor -z,rewrite,resub,refactor,1211,1108,988,958,918,900,892,884,881,868,863,862,862,862,862,862,862,858,856,856,25,25,22,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
bc0,rewrite,balance,resub -z,rewrite -z,balance,rewrite,balance,resub -z,rewrite -z,balance,resub,rewrite,resub -z,resub,refactor,rewrite,balance,refactor,rewrite -l,rewrite -z,1211,1192,1102,1079,1070,1061,1061,1042,1041,1038,1034,1034,1033,1032,978,949,949,939,926,925,25,23,23,22,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18
bc0,resub,refactor,rewrite -z,balance,rewrite -l,refactor,balance,refactor -z,balance,refactor -z,resub -z,rewrite -l,resub -z,resub,rewrite -z,resub -z,balance,resub -z,balance,resub,1267,1122,1016,1002,990,954,945,929,924,919,866,861,858,858,855,850,850,844,843,843,30,26,25,20,20,20,20,20,19,19,19,19,19,19,19,19,18,18,18,18
bc0,resub -z,rewrite -l,rewrite -z,refactor -z,rewrite -l,refactor,rewrite,refactor -z,resub -z,refactor -z,refactor,balance,resub,rewrite,resub,resub -z,refactor,resub,refactor -z,refactor,1267,1135,1114,1029,970,961,941,937,906,898,898,892,878,876,874,874,871,870,868,862,30,26,25,25,25,25,25,25,25,25,25,20,20,20,20,20,20,20,20,20
bc0,balance,resub,refactor,rewrite,resub,refactor,rewrite -z,resub -z,rewrite -z,resub -z,resub,rewrite -l,rewrite,resub -z,rewrite -l,balance,rewrite -z,resub -z,rewrite,refactor,1421,1193,1051,982,952,945,927,909,906,901,901,900,900,900,900,897,892,889,889,886,28,28,24,22,22,22,22,22,22,22,22,22,22,22,22,20,20,20,20,20
bc0,resub -z,resub,rewrite,resub,refactor,rewrite -z,resub -z,rewrite -z,rewrite,resub,rewrite -z,balance,rewrite -l,balance,refactor -z,rewrite -z,rewrite -l,rewrite -z,resub,balance,1267,1237,1116,1108,1032,968,923,908,908,902,902,896,894,894,886,875,869,869,865,861,30,30,25,25,25,25,25,24,24,24,23,18,18,18,18,18,18,18,18,18
bc0,resub -z,rewrite,resub -z,resub,refactor -z,refactor,resub,refactor -z,refactor,resub,refactor -z,rewrite,resub,rewrite,resub,rewrite -z,rewrite,balance,refactor,resub -z,1267,1135,1114,1110,1020,981,929,923,917,905,904,880,876,875,875,865,860,857,853,845,30,26,26,26,24,24,23,23,23,23,23,23,23,23,23,23,23,19,19,19
