design_name,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,AND1,AND2,AND3,AND4,AND5,AND6,AND7,AND8,AND9,AND10,AND11,AND12,AND13,AND14,AND15,AND16,AND17,AND18,AND19,AND20,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18,Level19,Level20
max,resub -z,resub,rewrite -z,balance,refactor,resub -z,balance,resub,rewrite,resub,balance,refactor,balance,rewrite -l,rewrite,balance,refactor,rewrite,balance,rewrite -l,2865,2865,2864,2864,2864,2864,2864,2864,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862,287,287,287,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
max,resub,rewrite -z,refactor,rewrite -z,rewrite -l,rewrite -z,rewrite,refactor -z,rewrite -l,refactor,refactor -z,resub,rewrite,rewrite -z,resub,refactor -z,rewrite,rewrite -l,rewrite,rewrite -l,2865,2864,2852,2851,2851,2847,2841,2838,2824,2824,2824,2824,2818,2818,2818,2818,2818,2818,2818,2818,287,287,287,287,287,287,287,252,252,252,251,251,251,251,251,241,241,241,241,241
max,rewrite -z,balance,refactor -z,rewrite -l,refactor -z,rewrite,rewrite -l,refactor -z,rewrite -l,rewrite,balance,resub -z,rewrite,refactor,refactor -z,resub -z,balance,rewrite,resub,rewrite -z,2864,2864,2864,2836,2836,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2834,287,217,210,210,208,208,208,207,207,207,205,205,205,205,204,204,204,204,204,204
max,balance,resub -z,refactor,refactor -z,rewrite,refactor -z,balance,rewrite -z,refactor -z,resub,rewrite,resub -z,rewrite,balance,refactor -z,refactor,rewrite,refactor,rewrite -l,resub -z,2865,2865,2865,2865,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2834,2834,2834,2834,2834,229,229,229,214,214,211,207,207,203,203,203,203,203,196,195,195,195,195,195,195
max,refactor -z,rewrite -l,refactor -z,resub,rewrite -l,rewrite -z,rewrite,refactor -z,rewrite,rewrite -l,refactor,resub -z,refactor -z,resub -z,balance,rewrite,resub -z,resub,rewrite -z,refactor -z,2865,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2858,2858,234,234,231,231,231,231,231,225,225,225,225,225,224,224,197,197,197,197,197,196
max,balance,resub -z,resub,resub -z,refactor,rewrite,rewrite -z,refactor -z,resub,refactor -z,rewrite -l,rewrite,balance,resub -z,refactor,rewrite -z,rewrite,refactor -z,balance,refactor -z,2865,2865,2865,2865,2865,2865,2865,2865,2862,2862,2829,2829,2829,2829,2829,2828,2828,2828,2828,2828,229,229,229,229,229,229,229,217,217,215,215,215,206,206,206,206,206,202,196,196
max,refactor -z,resub -z,rewrite -z,rewrite,rewrite -z,balance,refactor,rewrite -z,refactor,rewrite -z,refactor -z,rewrite,rewrite -l,balance,rewrite -z,resub,rewrite -z,rewrite,refactor,rewrite -l,2865,2865,2859,2859,2859,2859,2859,2857,2857,2857,2857,2827,2827,2827,2826,2826,2826,2826,2826,2826,234,234,234,234,234,201,201,201,201,201,190,190,190,181,181,181,181,181,181,181
max,refactor,resub -z,refactor -z,rewrite -l,resub -z,resub,balance,rewrite,rewrite -z,refactor -z,refactor,resub -z,refactor,resub -z,balance,rewrite,resub,refactor,rewrite -l,resub -z,2865,2865,2865,2859,2859,2859,2859,2859,2859,2859,2858,2858,2858,2858,2858,2837,2837,2837,2837,2837,287,287,234,234,234,234,210,210,210,205,205,205,205,205,197,197,197,197,197,197
max,balance,rewrite,resub -z,rewrite -z,rewrite,refactor -z,resub -z,refactor,resub -z,rewrite -z,rewrite,resub -z,balance,rewrite -l,resub -z,balance,refactor,rewrite -z,rewrite,refactor,2865,2865,2865,2865,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,2834,2834,2834,229,229,229,229,229,217,217,217,217,217,217,217,208,208,208,208,208,208,208,208
max,rewrite -z,refactor -z,rewrite -z,resub,refactor -z,resub -z,rewrite -l,refactor -z,rewrite -l,resub,resub -z,resub,balance,refactor,resub,rewrite -l,balance,rewrite,resub,resub -z,2864,2862,2860,2860,2860,2859,2855,2855,2844,2844,2844,2844,2844,2844,2844,2843,2843,2843,2843,2843,287,243,243,243,222,222,222,221,221,221,221,221,203,203,203,203,203,203,203,203
max,rewrite -z,balance,refactor,resub -z,rewrite,rewrite -z,balance,rewrite,refactor,rewrite -l,rewrite,refactor,refactor -z,rewrite -l,refactor -z,resub -z,rewrite -z,rewrite,refactor,refactor -z,2864,2864,2864,2864,2862,2860,2860,2860,2860,2860,2860,2860,2860,2834,2834,2834,2832,2832,2832,2832,287,217,217,217,217,217,209,209,209,209,209,209,205,205,204,204,204,204,204,202
max,refactor,rewrite -l,refactor -z,refactor,balance,rewrite -l,rewrite,resub -z,rewrite -z,resub,refactor -z,refactor,resub,refactor,resub -z,refactor -z,rewrite -z,rewrite,resub -z,rewrite -l,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2864,2864,2864,2864,2864,2843,2842,2842,2842,287,287,234,234,210,210,210,210,210,210,205,205,205,205,205,204,204,204,204,204
max,rewrite -z,refactor -z,rewrite,balance,rewrite -z,balance,rewrite,balance,rewrite -l,balance,refactor -z,rewrite,resub,rewrite -z,refactor -z,resub -z,rewrite -l,balance,refactor -z,rewrite,2864,2862,2860,2860,2858,2858,2858,2858,2858,2858,2858,2840,2840,2838,2838,2838,2830,2830,2829,2829,287,243,243,210,210,202,202,202,202,202,202,202,202,202,201,201,201,198,198,198
max,refactor -z,resub -z,balance,rewrite -l,refactor,resub,rewrite -z,rewrite -l,resub,balance,rewrite -z,refactor,rewrite -l,rewrite,rewrite -l,rewrite -z,balance,rewrite -z,rewrite,resub -z,2865,2865,2865,2865,2865,2865,2865,2832,2832,2832,2831,2831,2831,2831,2831,2831,2831,2829,2829,2829,234,234,210,210,210,210,210,210,210,200,200,200,200,200,200,200,188,188,188,188
max,rewrite -l,rewrite -z,rewrite,resub -z,rewrite,rewrite -z,refactor,balance,rewrite -l,resub -z,resub,rewrite -l,resub,resub -z,refactor -z,balance,resub -z,resub,rewrite -z,resub,2865,2864,2863,2863,2863,2861,2851,2851,2851,2851,2851,2851,2851,2851,2851,2851,2851,2851,2849,2849,287,287,287,287,287,287,285,221,221,221,221,221,221,221,217,212,212,212,212,212
max,refactor -z,rewrite,refactor,rewrite -z,rewrite,refactor -z,rewrite -l,refactor,refactor -z,refactor,resub,rewrite -z,rewrite,refactor -z,resub -z,refactor,resub -z,rewrite,refactor -z,rewrite -z,2865,2859,2859,2859,2859,2859,2859,2859,2859,2858,2858,2858,2858,2858,2858,2858,2858,2857,2857,2856,234,234,234,234,234,227,227,227,226,226,226,226,226,216,216,216,216,216,216,216
max,balance,rewrite,rewrite -l,balance,refactor,rewrite -l,resub -z,resub,resub -z,rewrite -l,balance,rewrite -l,resub,refactor,refactor -z,refactor,resub,balance,resub,balance,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,229,229,229,229,229,229,229,229,229,229,229,229,229,229,214,214,214,210,210,210
max,rewrite,rewrite -l,rewrite,rewrite -l,refactor -z,resub,rewrite,refactor -z,rewrite -z,resub,refactor,balance,resub -z,resub,refactor -z,rewrite -l,rewrite -z,refactor,balance,rewrite -z,2865,2865,2865,2865,2865,2865,2859,2859,2859,2859,2859,2859,2859,2859,2859,2834,2833,2833,2833,2831,287,287,287,287,234,234,234,231,231,231,231,201,201,201,200,200,200,200,189,189
max,rewrite -l,refactor -z,refactor,rewrite -z,refactor,rewrite,resub -z,balance,rewrite -l,balance,refactor -z,refactor,rewrite,refactor -z,rewrite -z,rewrite,rewrite -l,resub -z,rewrite -l,balance,2865,2865,2865,2859,2859,2859,2859,2859,2859,2859,2859,2859,2832,2832,2831,2831,2831,2831,2831,2831,287,234,234,234,234,234,234,202,202,202,200,200,200,199,199,199,199,199,199,192
max,resub,resub -z,resub,refactor,resub -z,refactor,rewrite -l,resub -z,rewrite -z,refactor,refactor -z,rewrite,resub,rewrite,rewrite -l,balance,resub -z,rewrite -l,resub,refactor -z,2865,2865,2865,2865,2865,2865,2865,2865,2864,2852,2852,2850,2850,2850,2850,2850,2850,2849,2849,2849,287,287,287,287,287,287,287,287,287,287,250,250,250,250,250,224,224,224,224,222
max,resub -z,rewrite,resub,resub -z,balance,rewrite -l,resub,balance,resub,rewrite -l,refactor -z,resub,rewrite,resub -z,rewrite -z,balance,rewrite -l,resub -z,rewrite,rewrite -l,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2835,2835,2835,2835,2835,2835,2835,2835,287,287,287,287,229,229,229,229,229,229,214,214,214,214,214,202,202,202,202,202
max,resub,resub -z,resub,resub -z,rewrite -z,rewrite,balance,rewrite -l,rewrite,balance,resub,rewrite,rewrite -l,refactor -z,refactor,resub -z,balance,rewrite -l,balance,refactor,2865,2865,2865,2865,2864,2863,2863,2861,2861,2861,2861,2861,2861,2861,2861,2861,2861,2835,2835,2835,287,287,287,287,287,287,217,217,217,217,217,217,217,210,210,210,208,208,208,208
max,rewrite -l,rewrite,resub,refactor -z,rewrite -l,resub -z,balance,resub,rewrite -l,resub -z,refactor,balance,rewrite,refactor,resub -z,rewrite -z,resub -z,resub,rewrite -z,resub -z,2865,2865,2865,2865,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,287,287,287,234,234,234,210,210,210,210,210,210,210,210,210,210,210,210,210,210
max,rewrite -z,resub,balance,rewrite -z,resub,resub -z,resub,resub -z,refactor,resub -z,resub,rewrite,balance,resub,resub -z,resub,balance,rewrite -l,rewrite,resub,2864,2864,2864,2860,2860,2860,2860,2860,2860,2860,2860,2854,2854,2854,2854,2854,2854,2854,2854,2854,287,287,217,217,217,217,217,217,217,217,217,217,209,209,209,209,209,209,209,209
max,refactor,rewrite,refactor,refactor -z,resub,resub -z,rewrite -l,resub,refactor,refactor -z,rewrite,rewrite -l,resub -z,rewrite,rewrite -l,resub -z,refactor,balance,rewrite -l,rewrite,2865,2865,2865,2865,2865,2865,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,287,287,287,234,234,234,234,234,234,231,231,231,231,231,231,231,231,207,207,207
max,resub -z,refactor,refactor -z,rewrite -z,rewrite,resub -z,balance,resub,balance,resub -z,rewrite -l,balance,resub -z,rewrite -z,refactor -z,resub -z,refactor,rewrite -l,resub -z,rewrite -z,2865,2865,2865,2859,2859,2859,2859,2859,2859,2859,2859,2859,2859,2858,2858,2858,2857,2824,2824,2822,287,287,234,234,234,234,203,203,203,203,203,203,203,203,190,190,190,190,190,190
max,resub -z,refactor,resub -z,refactor -z,resub,refactor,balance,refactor,balance,resub,refactor,rewrite -z,resub -z,balance,resub -z,refactor -z,rewrite -z,rewrite,rewrite -l,rewrite,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2837,2837,2837,2837,287,287,287,234,234,234,210,210,210,210,210,210,210,200,200,198,198,198,198,198
max,resub -z,balance,rewrite,rewrite -l,rewrite -z,refactor,resub,rewrite -z,rewrite,rewrite -l,balance,rewrite,resub -z,rewrite -z,balance,resub,balance,refactor -z,rewrite,rewrite -l,2865,2865,2865,2865,2865,2865,2865,2862,2862,2862,2862,2862,2862,2854,2854,2854,2854,2854,2834,2834,287,229,229,229,229,229,229,229,229,229,211,211,211,211,207,207,207,202,202,202
max,rewrite,refactor -z,rewrite,rewrite -l,rewrite,rewrite -l,rewrite -z,rewrite -l,rewrite -z,rewrite -l,balance,rewrite -z,resub -z,rewrite,resub -z,rewrite,rewrite -l,refactor -z,rewrite -l,resub,2865,2865,2859,2859,2859,2859,2859,2859,2859,2859,2859,2857,2857,2848,2848,2848,2848,2848,2830,2830,287,234,234,234,234,234,234,234,234,234,201,201,201,201,201,201,201,191,191,191
max,rewrite -l,refactor,refactor -z,rewrite -l,rewrite -z,refactor,rewrite -z,balance,resub -z,resub,rewrite -z,refactor,rewrite,rewrite -l,rewrite -z,refactor,rewrite,refactor -z,rewrite,rewrite -l,2865,2865,2865,2859,2859,2859,2859,2859,2859,2859,2857,2857,2848,2848,2848,2848,2848,2848,2826,2826,287,287,234,234,234,234,234,201,201,201,201,201,201,201,201,201,201,190,190,190
max,refactor,rewrite,rewrite -z,resub,rewrite -z,refactor -z,rewrite,resub,rewrite -z,rewrite -l,refactor -z,resub -z,rewrite -l,balance,refactor,rewrite -l,balance,rewrite,balance,resub,2865,2865,2864,2864,2861,2852,2838,2838,2830,2830,2830,2830,2826,2826,2826,2826,2826,2826,2826,2826,287,287,287,287,287,244,244,244,244,244,242,242,242,212,212,212,212,212,212,212
max,refactor,rewrite -l,balance,resub,resub -z,refactor,balance,refactor -z,balance,refactor -z,rewrite -l,refactor,balance,resub,rewrite -z,resub,rewrite -z,rewrite -l,resub,refactor,2865,2865,2865,2865,2865,2865,2865,2865,2865,2865,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835,287,287,229,229,229,229,229,214,210,207,207,207,207,207,207,207,207,207,207,207
max,refactor,refactor -z,rewrite -z,resub -z,rewrite -z,rewrite -l,resub -z,rewrite -l,refactor -z,rewrite -z,resub,refactor -z,rewrite,refactor -z,rewrite,balance,rewrite -l,refactor -z,rewrite -l,balance,2865,2865,2859,2859,2859,2859,2859,2859,2857,2854,2854,2854,2852,2852,2852,2852,2852,2852,2825,2825,287,234,234,234,234,234,234,234,216,216,216,215,215,215,215,187,187,187,187,187
