design_name,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,AND1,AND2,AND3,AND4,AND5,AND6,AND7,AND8,AND9,AND10,AND11,AND12,AND13,AND14,AND15,AND16,AND17,AND18,AND19,AND20,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18,Level19,Level20
sasc,rewrite,resub -z,refactor -z,rewrite -l,resub,rewrite,resub -z,resub,rewrite,rewrite -z,resub -z,balance,refactor -z,resub -z,rewrite -z,resub -z,balance,refactor -z,rewrite,resub,600,598,593,590,587,586,586,586,586,586,585,585,584,584,584,584,584,584,584,584,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
sasc,rewrite,refactor,rewrite -z,rewrite -l,rewrite,resub -z,resub,resub -z,rewrite,rewrite -z,resub -z,resub,rewrite -z,refactor,refactor -z,rewrite -z,resub,rewrite -z,balance,rewrite -z,600,596,596,595,595,592,592,592,592,592,591,591,591,589,589,589,589,589,589,589,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
sasc,rewrite -z,refactor -z,resub,rewrite -l,rewrite,balance,rewrite -z,refactor -z,refactor,resub -z,rewrite -l,rewrite -z,rewrite -l,rewrite,resub,rewrite -z,rewrite -l,refactor -z,resub -z,refactor -z,598,594,590,587,587,587,587,587,587,586,586,586,585,585,584,584,584,584,584,584,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10
sasc,refactor -z,balance,rewrite -z,rewrite -l,refactor,balance,rewrite,rewrite -z,refactor,balance,rewrite -l,rewrite,rewrite -l,refactor,refactor -z,balance,resub -z,refactor,balance,rewrite -z,598,597,594,593,591,591,591,591,591,591,591,591,591,590,590,590,589,589,589,589,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
sasc,refactor -z,balance,resub -z,refactor -z,refactor,balance,rewrite,rewrite -z,rewrite,resub,refactor -z,refactor,resub,balance,refactor -z,rewrite,rewrite -l,rewrite -z,refactor -z,resub,598,597,594,592,592,592,592,592,592,592,592,592,590,590,590,589,587,587,587,585,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9
sasc,refactor,resub -z,balance,rewrite -l,rewrite,resub,rewrite -l,resub,rewrite -z,resub -z,refactor,resub,refactor,refactor -z,rewrite -z,balance,rewrite,refactor -z,refactor,balance,601,595,595,593,593,593,593,593,593,593,590,590,590,590,590,590,590,589,589,589,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
sasc,rewrite -z,rewrite -l,rewrite,resub,rewrite -l,rewrite -z,resub -z,balance,refactor,refactor -z,resub,rewrite -z,resub,rewrite,resub,rewrite,balance,resub,rewrite -z,resub,598,595,595,593,593,592,590,590,588,586,585,584,584,584,584,584,584,584,584,584,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
sasc,rewrite,rewrite -z,balance,resub -z,resub,resub -z,resub,balance,refactor -z,rewrite,rewrite -l,refactor,resub,balance,refactor,rewrite,resub -z,balance,rewrite -z,balance,600,598,598,596,596,596,596,596,593,589,586,585,583,583,583,583,583,583,583,583,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,10
sasc,refactor -z,resub -z,balance,resub -z,refactor,balance,refactor -z,rewrite,refactor -z,rewrite -l,resub -z,rewrite,refactor,rewrite -l,resub -z,rewrite -l,resub,refactor -z,resub,refactor -z,598,594,594,594,592,592,592,591,591,589,586,585,584,583,583,583,583,583,583,583,8,8,8,8,8,8,8,8,8,9,9,9,9,10,10,10,10,10,10,10
sasc,rewrite -z,refactor,rewrite -z,balance,rewrite,rewrite -z,resub,rewrite -l,balance,rewrite,resub -z,resub,rewrite -l,rewrite -z,resub -z,refactor -z,rewrite -z,rewrite -l,rewrite,refactor -z,598,594,594,593,592,592,587,585,585,585,585,585,585,584,584,583,582,581,581,581,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10
sasc,refactor -z,rewrite,resub,resub -z,rewrite,refactor,rewrite -l,rewrite,rewrite -l,resub,refactor,rewrite -z,rewrite -l,refactor -z,refactor,rewrite -l,refactor,rewrite,refactor -z,rewrite,598,595,592,592,592,592,591,591,591,591,591,591,591,591,591,590,590,589,589,588,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9
sasc,rewrite,balance,resub -z,balance,resub -z,rewrite -z,resub,rewrite -l,balance,refactor -z,resub,resub -z,refactor,rewrite -l,refactor,rewrite -z,resub,rewrite,resub,balance,600,600,598,598,598,596,596,595,595,592,591,591,591,588,588,586,583,583,583,583,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9
sasc,rewrite,refactor -z,rewrite,rewrite -z,refactor,rewrite,resub -z,refactor -z,resub,resub -z,refactor -z,refactor,refactor -z,resub,refactor,rewrite,balance,refactor -z,rewrite -z,refactor -z,600,595,593,590,588,588,586,586,586,586,586,586,586,585,585,585,585,585,585,585,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
sasc,refactor -z,rewrite -z,balance,resub,refactor -z,resub -z,refactor,refactor -z,rewrite -z,rewrite -l,resub -z,refactor -z,rewrite -z,refactor -z,resub -z,rewrite -z,rewrite -l,rewrite -z,refactor,rewrite -l,598,595,594,592,592,592,592,592,591,590,590,590,590,590,589,589,589,589,589,589,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9
sasc,resub,rewrite -l,refactor -z,rewrite,rewrite -l,resub,resub -z,rewrite -z,balance,rewrite -l,resub -z,balance,rewrite -l,resub,refactor,refactor -z,refactor,rewrite -z,resub,refactor -z,605,597,592,590,587,585,585,584,584,583,583,583,583,583,583,583,583,583,583,583,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
sasc,refactor,resub,balance,rewrite -l,rewrite -z,resub -z,resub,rewrite -z,rewrite -l,rewrite -z,refactor -z,balance,rewrite -z,resub -z,resub,rewrite -z,refactor -z,resub,rewrite -z,refactor -z,601,595,595,593,593,593,593,593,593,593,591,591,591,590,590,590,590,590,590,589,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
sasc,resub,resub -z,resub,rewrite -l,resub -z,resub,rewrite -z,rewrite -l,resub,rewrite,resub,rewrite,rewrite -l,refactor -z,rewrite -l,resub -z,refactor,rewrite -l,refactor,resub -z,605,605,605,597,597,597,595,595,595,595,595,595,595,592,591,589,587,584,584,584,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10
sasc,rewrite,resub,balance,rewrite -l,balance,refactor -z,resub,resub -z,resub,balance,resub -z,rewrite -z,resub -z,rewrite -l,resub,refactor,refactor -z,rewrite -z,refactor -z,rewrite,600,598,598,595,595,592,590,590,590,590,590,590,590,590,590,589,589,589,589,587,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
sasc,rewrite -z,resub,refactor,balance,rewrite -z,refactor,rewrite -l,resub -z,balance,rewrite,refactor,balance,refactor,rewrite,balance,rewrite -z,refactor -z,resub -z,refactor,resub,598,596,592,591,591,590,588,586,586,586,586,586,586,586,586,585,585,585,585,585,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9
sasc,refactor,rewrite -l,balance,rewrite -l,resub,refactor,rewrite -l,rewrite,rewrite -l,balance,rewrite,refactor -z,rewrite -l,rewrite -z,rewrite,resub -z,refactor -z,rewrite -z,rewrite,rewrite -l,601,596,595,595,593,591,591,591,591,591,591,591,589,587,584,584,584,584,584,583,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10
sasc,rewrite -l,balance,resub,refactor -z,rewrite,refactor,resub -z,balance,resub -z,refactor,refactor -z,balance,refactor,rewrite,resub -z,balance,rewrite -l,refactor,refactor -z,rewrite -z,599,599,597,592,590,588,585,585,585,585,585,585,585,584,584,584,584,584,584,584,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
sasc,resub,resub -z,refactor -z,rewrite -l,resub,resub -z,balance,rewrite,resub -z,refactor,balance,rewrite,balance,resub -z,rewrite -l,resub,rewrite -z,resub,balance,resub -z,605,605,596,590,587,586,586,585,585,585,585,585,585,585,584,584,584,583,583,583,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10
sasc,rewrite,rewrite -l,resub,refactor -z,rewrite,rewrite -z,balance,resub -z,refactor -z,resub,refactor,rewrite -l,rewrite -z,rewrite,resub,rewrite -z,rewrite,balance,resub -z,resub,600,597,595,592,590,588,587,584,584,584,584,584,584,584,584,584,584,584,584,584,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
sasc,rewrite,rewrite -z,balance,resub -z,resub,rewrite -l,rewrite -z,resub -z,rewrite,resub -z,refactor,refactor -z,rewrite,resub,rewrite -l,rewrite,balance,refactor -z,resub -z,refactor,600,598,598,596,596,594,594,592,592,592,590,588,587,586,584,581,581,581,581,581,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10
sasc,resub,resub -z,resub,rewrite -z,rewrite,resub,refactor,refactor -z,refactor,resub,rewrite,rewrite -l,refactor -z,rewrite,rewrite -l,refactor -z,resub -z,rewrite -z,rewrite,resub,605,605,605,597,596,596,593,591,591,590,588,585,585,585,585,585,585,585,584,584,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10
sasc,balance,rewrite,rewrite -z,refactor,rewrite,resub -z,balance,rewrite -l,refactor,balance,resub -z,balance,rewrite -z,rewrite -l,refactor,rewrite -z,rewrite -l,resub,balance,rewrite -l,613,600,598,595,595,592,592,590,589,589,587,587,587,587,587,587,587,587,587,587,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9
