design_name,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Step10,Step11,Step12,Step13,Step14,Step15,Step16,Step17,Step18,Step19,Step20,AND1,AND2,AND3,AND4,AND5,AND6,AND7,AND8,AND9,AND10,AND11,AND12,AND13,AND14,AND15,AND16,AND17,AND18,AND19,AND20,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18,Level19,Level20
simple_spi,rewrite,rewrite -l,rewrite -z,rewrite,rewrite -z,refactor -z,refactor,refactor -z,rewrite -z,balance,rewrite -z,rewrite,rewrite -z,balance,resub -z,balance,rewrite -z,resub,rewrite,balance,834,833,829,828,828,824,823,823,821,821,820,816,816,816,814,814,814,813,813,813,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
simple_spi,resub -z,rewrite -l,balance,resub,refactor,resub -z,rewrite,refactor -z,rewrite -z,balance,rewrite -l,resub -z,rewrite -z,resub -z,rewrite -z,rewrite -l,resub,refactor,resub -z,rewrite -l,888,829,829,828,825,825,825,824,823,823,819,819,818,818,818,818,817,817,817,817,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11
simple_spi,balance,refactor -z,refactor,rewrite -z,rewrite -l,refactor -z,rewrite -z,refactor,resub -z,rewrite,resub,balance,refactor,rewrite,rewrite -l,resub -z,balance,resub -z,rewrite -l,balance,930,852,849,816,812,811,809,809,807,807,807,807,807,807,804,804,804,804,804,804,11,11,11,11,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15
simple_spi,resub -z,rewrite -z,resub,resub -z,balance,resub,refactor,rewrite -l,resub -z,rewrite,rewrite -z,rewrite,resub,rewrite,rewrite -l,balance,rewrite -z,resub,balance,rewrite -l,888,828,825,825,825,825,824,818,817,817,816,816,816,816,816,816,816,816,816,816,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
simple_spi,rewrite -z,rewrite,resub,refactor -z,rewrite -z,resub -z,rewrite,rewrite -l,rewrite,resub -z,refactor,resub,refactor,resub -z,rewrite,rewrite -l,balance,rewrite,refactor,resub,835,832,827,823,820,817,816,816,816,816,816,816,816,816,816,816,816,816,816,816,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
simple_spi,refactor -z,resub -z,rewrite,rewrite -z,rewrite,refactor -z,resub -z,refactor,rewrite -z,resub,refactor,resub,rewrite -z,rewrite -l,rewrite,balance,resub,refactor,refactor -z,refactor,852,837,814,811,811,810,808,807,807,806,806,806,806,804,804,804,804,804,804,804,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,13
simple_spi,refactor -z,rewrite -z,rewrite,resub,refactor,rewrite -l,rewrite,refactor -z,rewrite -l,balance,refactor -z,balance,rewrite,balance,refactor,rewrite -l,rewrite -z,balance,rewrite -l,balance,852,817,817,814,814,812,812,811,807,807,807,807,805,805,805,805,805,805,804,804,11,11,11,11,11,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15
simple_spi,balance,rewrite -l,rewrite -z,resub,rewrite -l,resub,rewrite -z,refactor,balance,resub,rewrite -l,refactor -z,resub -z,rewrite -z,refactor,refactor -z,resub -z,rewrite -l,refactor -z,rewrite,930,834,830,825,824,824,824,823,823,821,819,816,814,812,812,812,812,810,810,810,11,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,13,13,13
simple_spi,refactor -z,rewrite -l,rewrite -z,balance,rewrite -l,balance,rewrite -l,refactor -z,resub,refactor,resub,refactor,resub,refactor -z,rewrite -l,rewrite,rewrite -l,resub,resub -z,refactor -z,852,813,809,809,808,808,808,807,806,805,805,805,805,805,805,805,805,803,803,803,11,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
simple_spi,refactor,rewrite -l,refactor,rewrite,resub -z,rewrite,refactor,resub -z,balance,rewrite -l,resub,rewrite,balance,refactor,resub,resub -z,rewrite,rewrite -z,resub,balance,863,815,812,811,810,810,810,810,810,809,809,809,809,809,809,809,809,808,806,806,11,15,15,15,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15
simple_spi,refactor -z,rewrite -z,balance,refactor -z,resub -z,rewrite,balance,refactor -z,rewrite -z,rewrite,refactor -z,rewrite,balance,rewrite,rewrite -l,resub -z,refactor,resub -z,rewrite,resub -z,852,817,817,816,810,808,808,808,807,806,806,805,805,805,801,800,800,800,800,800,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,15,15,15,15,15
simple_spi,refactor,rewrite -l,refactor,rewrite -l,refactor,rewrite,balance,refactor -z,rewrite,resub,rewrite,refactor,balance,refactor,rewrite -l,balance,resub,rewrite,rewrite -l,refactor -z,863,815,812,810,810,810,810,809,808,806,806,806,806,806,806,806,806,806,806,806,11,15,15,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15
simple_spi,rewrite -z,resub,refactor -z,refactor,balance,rewrite,resub,resub -z,rewrite -l,balance,rewrite,refactor,refactor -z,rewrite -z,refactor -z,resub -z,rewrite -l,rewrite,balance,resub,835,830,826,825,824,815,815,815,811,811,811,811,811,810,810,808,808,808,808,808,11,11,11,11,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14
simple_spi,balance,rewrite,balance,refactor -z,rewrite -z,refactor -z,resub -z,rewrite,refactor -z,rewrite -l,rewrite,refactor -z,resub -z,resub,rewrite,rewrite -l,refactor -z,resub,resub -z,resub,930,834,834,827,814,814,813,812,812,810,810,810,810,810,810,810,810,808,808,808,11,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11
simple_spi,resub -z,rewrite -l,rewrite -z,balance,refactor,rewrite -z,resub,resub -z,rewrite -l,refactor,rewrite -l,rewrite,rewrite -l,refactor -z,rewrite -z,resub,rewrite -z,rewrite,resub,refactor -z,888,829,827,827,826,823,821,821,819,818,818,818,818,817,809,808,808,808,808,808,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11
simple_spi,refactor -z,balance,refactor,resub -z,rewrite -z,rewrite -l,refactor,rewrite -z,refactor -z,balance,resub,rewrite,resub -z,rewrite -z,rewrite -l,resub -z,balance,resub,balance,resub -z,852,852,849,834,811,810,810,810,809,809,807,807,807,807,803,803,803,803,803,803,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13
simple_spi,resub -z,balance,rewrite,resub -z,rewrite -z,rewrite -l,resub -z,rewrite -l,refactor -z,rewrite,resub,rewrite,rewrite -l,resub -z,rewrite,rewrite -l,balance,rewrite -z,resub -z,refactor,888,888,829,828,826,823,822,822,822,821,820,820,820,820,820,820,820,820,820,820,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
simple_spi,refactor -z,resub,rewrite -z,rewrite,refactor -z,rewrite,resub -z,refactor -z,resub -z,balance,rewrite -l,rewrite -z,resub -z,balance,resub -z,refactor,rewrite,rewrite -l,refactor -z,resub,852,837,813,811,810,807,806,806,806,806,802,802,802,802,802,802,801,801,801,801,11,11,11,11,11,11,11,11,11,11,15,15,15,15,15,15,15,15,15,15
simple_spi,resub,rewrite,resub,rewrite -z,resub -z,rewrite -z,rewrite -l,resub,refactor -z,rewrite -z,refactor,resub -z,refactor,rewrite -l,refactor,rewrite -l,rewrite -z,balance,rewrite -l,rewrite,888,829,828,826,824,822,821,821,818,809,807,806,806,804,804,804,804,804,804,804,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,10,10,10
simple_spi,rewrite,rewrite -l,resub,resub -z,refactor,rewrite,rewrite -z,rewrite,resub,rewrite -l,rewrite,refactor,rewrite -l,resub -z,resub,refactor,resub,resub -z,rewrite -z,refactor -z,834,833,829,829,824,823,821,819,816,811,811,810,808,808,808,808,808,808,808,808,10,10,10,10,10,10,10,10,10,14,14,14,15,15,15,15,15,15,15,15
simple_spi,resub,balance,resub -z,balance,rewrite -z,refactor,refactor -z,resub,rewrite -z,refactor -z,rewrite -l,rewrite,balance,rewrite -l,refactor,rewrite -z,balance,rewrite,balance,rewrite -l,888,888,887,886,827,826,823,822,812,812,807,807,807,803,803,801,801,799,799,799,10,10,10,10,10,10,10,10,10,10,11,11,11,15,15,15,14,14,14,14
simple_spi,rewrite -z,refactor -z,resub,refactor,rewrite,refactor,resub,rewrite -l,resub -z,rewrite -z,resub,balance,resub,refactor,resub,refactor,resub,rewrite -z,rewrite -l,rewrite -z,835,828,821,820,818,818,818,818,818,816,815,815,815,815,815,815,815,814,814,814,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
simple_spi,resub -z,refactor -z,rewrite -l,rewrite,refactor -z,refactor,resub,resub -z,resub,rewrite -z,resub,rewrite,refactor -z,resub -z,resub,resub -z,rewrite,rewrite -z,refactor,resub -z,888,843,824,824,824,824,823,823,823,822,820,818,818,818,818,818,818,818,818,818,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
simple_spi,refactor -z,balance,refactor -z,refactor,resub,refactor -z,refactor,balance,refactor -z,resub -z,rewrite,rewrite -z,rewrite -l,refactor,balance,refactor -z,refactor,balance,rewrite,resub -z,852,852,849,849,821,819,819,818,818,817,813,812,807,807,807,807,806,806,806,802,11,11,11,11,11,11,11,10,10,10,10,10,13,13,13,13,13,13,13,13
simple_spi,refactor -z,rewrite -z,resub,resub -z,rewrite -z,balance,resub,refactor,rewrite -z,refactor,resub -z,refactor,resub,rewrite,resub,balance,rewrite,balance,rewrite -l,rewrite,852,817,814,814,812,811,810,810,810,810,810,810,810,810,810,810,810,810,806,806,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,15
simple_spi,rewrite -l,rewrite -z,refactor -z,rewrite -z,rewrite -l,rewrite,refactor,resub,resub -z,rewrite -z,rewrite -l,resub,rewrite,resub -z,rewrite -l,balance,resub -z,resub,refactor,refactor -z,834,830,826,823,820,820,820,817,817,817,816,815,815,815,813,813,812,812,812,812,10,10,10,10,11,11,11,11,11,11,12,12,12,12,14,11,11,11,11,11
simple_spi,refactor -z,rewrite,refactor -z,rewrite -l,resub,rewrite,rewrite -z,refactor -z,resub,refactor,rewrite,balance,rewrite,rewrite -l,rewrite,refactor -z,resub -z,rewrite,resub -z,refactor -z,852,817,816,811,810,810,808,808,805,804,804,804,804,803,803,803,803,803,803,803,11,11,11,15,15,15,15,14,14,14,14,14,14,15,15,15,15,15,15,15
simple_spi,resub,rewrite -z,balance,rewrite -l,balance,rewrite -z,balance,resub -z,balance,rewrite,refactor,rewrite -l,rewrite -z,refactor -z,resub,balance,refactor,rewrite,balance,refactor -z,888,828,828,826,826,825,825,821,821,820,818,815,815,814,813,813,813,813,813,813,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
simple_spi,rewrite -z,resub,rewrite -l,rewrite -z,refactor -z,refactor,resub,refactor,refactor -z,balance,resub,refactor -z,resub -z,rewrite -l,rewrite -z,rewrite -l,resub -z,rewrite,rewrite -l,refactor,835,830,827,826,822,822,819,819,819,818,818,818,818,818,816,814,814,814,814,814,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
simple_spi,resub -z,rewrite,refactor,refactor -z,resub -z,rewrite -l,rewrite,resub,resub -z,refactor -z,rewrite,rewrite -z,refactor -z,rewrite -l,rewrite -z,refactor -z,rewrite -z,rewrite -l,resub,balance,888,829,825,825,823,822,822,822,822,822,822,821,821,821,821,821,820,818,816,816,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
simple_spi,refactor -z,balance,rewrite -z,resub,balance,rewrite -z,refactor,balance,refactor -z,rewrite,balance,rewrite -z,rewrite,balance,refactor,resub,refactor,rewrite -l,rewrite -z,refactor -z,852,852,815,813,813,811,811,811,810,810,810,810,810,810,810,810,810,806,806,806,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,15,15,15
simple_spi,rewrite -z,rewrite,resub,rewrite,resub -z,refactor,resub,resub -z,refactor,refactor -z,refactor,resub -z,resub,balance,resub,rewrite,refactor,resub -z,balance,rewrite,835,832,827,827,827,824,823,823,821,820,820,820,820,819,816,816,816,816,816,816,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10
simple_spi,refactor -z,rewrite,resub,rewrite -l,resub,rewrite -l,balance,refactor,balance,refactor -z,resub -z,rewrite -z,resub -z,rewrite,refactor,resub -z,rewrite -l,refactor,resub,refactor,852,817,814,810,810,809,809,808,808,808,808,805,803,802,802,802,802,802,802,802,11,11,11,15,15,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15
simple_spi,resub -z,balance,resub -z,refactor -z,balance,rewrite -l,resub -z,refactor,resub,rewrite,rewrite -l,balance,refactor,refactor -z,rewrite -z,rewrite -l,refactor,rewrite,resub -z,rewrite -l,888,888,887,841,841,824,823,823,823,823,823,823,823,823,822,818,818,818,815,815,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11
simple_spi,rewrite -z,refactor,resub,resub -z,rewrite,refactor,rewrite -z,resub -z,rewrite -z,resub,rewrite -z,rewrite -l,rewrite -z,balance,rewrite,resub -z,rewrite -l,rewrite -z,rewrite -l,refactor -z,835,830,826,826,822,820,819,818,818,817,816,816,816,816,812,811,811,811,811,811,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
simple_spi,resub,refactor -z,rewrite -z,resub -z,resub,rewrite,refactor,refactor -z,rewrite -l,balance,rewrite,rewrite -l,refactor,resub -z,refactor,rewrite -z,rewrite,resub,resub -z,rewrite -l,888,843,823,820,820,818,818,818,818,818,818,818,818,818,818,818,817,817,817,817,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
simple_spi,balance,refactor,refactor -z,balance,rewrite,resub,refactor,refactor -z,rewrite -z,balance,resub -z,resub,rewrite -l,rewrite,resub,rewrite -l,rewrite -z,resub -z,rewrite -l,rewrite,930,863,850,850,817,814,813,812,809,809,808,808,806,806,806,806,806,806,806,806,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
simple_spi,rewrite -l,rewrite -z,resub,rewrite -l,rewrite,resub,rewrite,resub,rewrite -z,rewrite -l,refactor,rewrite,balance,refactor,rewrite,refactor,resub -z,rewrite -l,balance,refactor,834,830,825,824,824,824,824,824,824,824,823,823,823,822,819,817,816,813,813,813,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12
